 	BE	DK	DE	GR	ES	FR	IE	IT	LU	NL	AT	PT	FI	SE	UK	NO
1975	1509	816	8377	976	3908	6944	286	6244	61	1633	774	854	580	992	8865	651
1976	1521	834	8438	1030	3965	7141	292	6420	63	1637	793	863	587	1015	8830	690
1977	1549	839	8535	1061	3997	7309	298	6503	65	1653	813	871	568	1040	8922	724
1978	1574	842	8675	1093	3967	7463	307	6616	67	1673	832	877	549	1064	9073	748
1979	1610	845	8808	1127	3962	7582	321	6738	68	1696	850	895	580	1090	9324	761
1980	1559	833	9288	1159	3983	7681	331	7029	69	1786	865	920	615	1116	9536	781
1981	1565	822	8938	1219	4006	7743	337	7231	71	1860	880	942	612	1142	9356	798
1982	1558	822	8910	1250	4038	7825	343	7562	72	1864	888	937	609	1169	9326	806
1983	1565	826	8841	1255	4033	7867	346	7713	73	1866	897	939	626	1197	9365	812
1984	1576	842	8933	1279	3925	7909	344	8002	74	1889	908	929	642	1225	9677	820
1985	1603	868	9591	1311	4048	7953	347	8243	77	1937	923	929	658	1255	9857	857
1986	1623	897	9757	1326	4230	8010	342	8430	80	2010	939	948	740	1283	9924	903
1987	1685	922	9948	1275	4474	8210	344	8574	83	2082	952	960	839	1305	10155	921
1988	1737	929	10180	1302	4652	8454	349	8781	87	2189	973	987	866	1350	10600	917
1989	1774	924	10434	1331	4832	8705	356	8868	94	2274	1003	1039	897	1378	11137	893
1990	1821	912	10888	1395	4990	8915	364	9138	99	2367	1040	1070	886	1327	11473	884
1991	1850	904	14007	1410	5139	8968	372	9458	106	2461	1075	1154	826	1315	11215	883
1992	1900	898	14347	1401	5157	8899	385	9506	111	2527	1096	1204	764	1284	11128	876
1993	1946	885	14464	1532	5083	8797	398	9325	115	2746	1101	1189	726	1212	11061	871
1994	1912	888	14692	1581	5159	8903	415	9198	120	2813	1108	1184	740	1218	11292	881
1995	1973	908	14845	1635	5278	9056	442	9256	125	2960	1212	1193	749	1194	11609	902
1996	1991	918	14948	1668	5392	8935	474	9445	130	3071	1215	1207	754	1195	11842	932
1997	1980	941	14989	1687	5572	8993	502	9565	136	3206	1226	1184	792	1180	12301	956
1998	2049	951	15246	1794	5756	9098	551	9744	144	3362	1248	1133	821	1191	12548	989
1999	2098	958	15500	1840	6003	9405	590	9926	149	3441	1276	1153	857	1222	12858	982
