2002	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	IE	LU	FI	SE	DK	NO
1975	18.18	22.97	22.44	26.56	26.06	30.09	26.25	29.49	28.22	25.72	27.67	24.72	27.11	15.81	11.56	24.22	12.9	22.32	19.47	22.6	24.4	20.73	20.54	17.81	25.04	23.14	21.95	23.96	23.18	24.32	22.41	26.99	28.01	29.25	29.55	29.87	28.96	32.03	29.51	27.45	28.86	31.1	33.21	11.16	13.07	12.47	11.61	25.36	28.06	30.15	7.58	17.24	17.54	18.13	19.33	18.77	22.36	20.22	25.51	23.19	18.94	21.24	14.43	38.46	15.66	20.99	23.17	23.24
1976	18.18	22.97	22.44	26.56	26.06	30.09	26.25	29.49	28.22	25.72	27.67	24.72	27.11	15.81	11.56	24.22	12.9	22.32	19.47	22.6	24.4	20.73	20.54	17.81	25.04	23.14	21.95	23.96	23.18	24.32	22.41	26.99	28.01	29.25	29.55	29.87	28.96	32.03	29.51	27.45	28.86	31.1	33.21	11.16	13.07	12.47	11.61	25.36	28.06	30.15	7.58	17.24	17.54	18.13	19.33	18.77	22.36	20.22	25.51	23.19	18.94	21.24	14.43	38.46	15.66	20.99	23.17	23.24
1977	18.38	23.35	22.31	26.35	25.65	29.82	26.33	29.45	28.2	25.77	27.59	24.55	27.3	15.83	11.88	23.34	12.98	20.88	18.87	21.51	23.24	19.64	19.34	17.38	25.18	23.55	22.13	24.24	23.36	24.54	22.43	27.18	28.2	29.22	29.01	29.85	29.11	32.78	30.02	27.53	29.3	31.6	32.98	11.5	13.27	12.99	11.87	26.3	28.52	30.98	8.17	17.67	18.18	18.13	19.43	18.81	23.04	20.21	26.04	24.12	19.37	21.27	14.03	38.85	14.83	20.93	23.57	22.4
1978	18.65	23.25	22.18	26.84	25.91	29.65	26.14	29.34	27.86	25.63	27.69	24.93	28.1	16.18	12.46	23.01	13.32	20.3	19.01	21.27	23.02	19.35	18.94	17.65	25.61	23.76	22.61	24.49	23.25	24.6	22.6	27.28	29.3	29.04	29.91	29.8	28.99	32.62	30.57	26.61	27.94	29.85	32.58	11.79	13.59	13.14	12.29	26.48	28.34	31.16	7.78	17.68	18.17	18.4	19.78	18.71	23.49	20.22	26.28	24.29	19.78	21.11	14.27	39.09	13.95	20.31	23.7	22.89
1979	18.32	23.45	22.46	26.89	25.93	29.34	26.2	29.36	27.93	25.51	28.11	25.15	28.3	16.35	12.94	22.46	13.56	20.33	19.72	21.66	23.47	19.62	19.09	18.43	26.36	24.04	23.25	24.79	23.36	24.75	22.83	27.45	29.82	30.36	29.36	30.95	30	34.47	30.2	27.39	27.69	29.14	32.29	11.92	13.74	13.3	12.41	26.97	28.44	31.51	8.3	18.3	18.68	19.25	18.65	18.91	22.98	21.07	24.8	23.53	20.19	21.47	14.63	39.03	13.32	20.38	23.92	23.33
1980	17.75	23.13	22.25	27.15	25.98	29.62	25.95	28.89	28.04	25.66	28.27	25.15	27.66	16.66	13.54	22.06	13.94	19.73	19.83	21.39	23.2	19.3	18.66	18.66	27.56	24.27	23.06	25.24	23.42	24.81	23.56	27.54	30.39	30.57	29.34	31.63	31.29	34.83	29.5	28.31	27.75	29.36	33.26	11.98	13.78	13.34	12.46	27.24	28.65	31.25	8.24	18.22	18.27	18.81	20.17	18.75	22.45	21.14	24.35	23.21	19.45	21.3	15.3	38.74	13.77	20.87	23.99	22.36
1981	20.34	22.72	22.42	27	26.4	27.42	25.87	26.2	25.85	25.93	28.28	25.63	26.6	16.52	13.55	21.66	13.76	18.74	19.49	20.66	22.42	18.56	17.84	18.5	26.61	24.65	24.15	25.24	23.59	25.16	23.84	28.48	29.64	29.5	29.08	30.3	30.1	34.05	30.3	31.49	29.48	29.68	32.92	11.72	13.37	12.87	11.91	27.74	28.99	31.21	8.61	19.17	18.78	19.5	20.5	18.96	22.88	20.91	24.86	23.87	20.48	21.61	16.62	37.71	14.09	20.92	24.13	21.23
1982	20.81	22.09	22.44	29.17	27.79	28.7	27.56	28.45	27.73	27.24	29.88	27.89	29.01	17.31	14.56	19.59	14.19	18.85	19.95	20.61	22.85	18.44	17.56	18.89	26.66	24.78	24.16	25.47	23.39	25.42	23.96	28.59	29.21	29.27	29.72	29.93	30.38	33.19	30.18	31.25	30.08	29.53	31.4	11.46	13.23	12.47	11.47	28.07	29.2	30.93	8.72	19.55	19.26	19.57	21.06	19.4	22.98	20.82	24.39	24.14	20.8	22.31	17.1	37.66	13.83	20.62	23.34	20.73
1983	22.14	22.76	23.23	29.12	28.05	29.04	27.66	28.4	27.86	27.46	29.92	27.92	29.33	17.08	14.9	19.18	14.08	19.06	20.76	20.72	22.97	19.08	18	19.3	29.17	25.13	24.1	25.32	23.42	23.82	24.04	27.05	29.4	29.51	29.53	29.98	30.56	32.49	29.89	30.73	29.56	29.75	31.2	12.24	13.58	13.13	11.69	28.28	29.43	31.18	8.73	19.56	19.41	19.48	20.62	19.38	23.15	20.96	24.56	23.94	21.15	22.41	16.86	38	13.84	20.55	24.6	20.98
1984	21.88	23.57	22.28	29.18	28.34	29.4	27.86	28.89	28.5	27.2	29.59	28.32	29.58	16.94	15.22	19.39	14.48	18.82	21.27	21.11	23	19.43	18.11	19.69	28.62	25.01	24.63	25.27	23.48	24.07	24.27	26.52	30.28	29.75	29.63	30.77	31.47	31.4	29.74	30.51	29.73	30.27	31.78	12.32	13.46	13.13	11.63	28.87	29.6	31.24	9	19.57	19.59	19.72	20.59	19.45	23.46	20.83	25.04	24.37	20.94	23.02	16.65	39.54	14.38	20.61	24.53	21.3
