 	BE	DK	DE	GR	ES	FR	IE	IT	LU	NL	AT	PT	FI	SE	UK	NO
1975	13	12	7	6	3	9	13	8	10	14	61	1	15	5	8	18
1976	13	11	7	6	4	9	14	7	9	15	61	1	15	5	7	17
1977	14	13	8	5	4	9	17	7	10	15	60	1	16	5	9	18
1978	16	13	9	6	4	10	17	8	12	16	66	1	17	5	11	18
1979	16	14	8	6	5	12	15	8	13	16	71	2	18	5	10	17
1980	18	15	9	7	6	12	13	9	12	17	76	2	19	5	11	16
1981	19	17	9	6	5	12	14	9	14	19	75	2	18	5	12	17
1982	21	19	11	7	5	15	14	10	17	21	89	2	19	5	13	17
1983	21	17	10	6	6	14	15	10	15	21	90	2	20	5	12	16
1984	22	21	11	6	7	16	16	10	16	23	95	2	21	5	15	17
1985	22	21	12	7	7	17	15	11	17	22	93	2	21	5	15	17
1986	24	21	13	7	7	17	14	11	17	26	97	3	21	5	15	20
1987	23	21	12	7	8	18	17	12	17	25	101	3	23	5	15	22
1988	25	24	14	7	9	19	18	12	18	26	107	2	21	5	14	21
1989	26	28	15	8	9	21	19	12	19	28	108	3	22	5	15	21
1990	26	29	16	7	10	22	17	12	19	29	112	3	23	7	17	23
1991	28	32	13	8	11	22	17	13	16	28	106	3	23	7	17	23
1992	28	31	17	8	12	25	18	13	20	25	101	2	25	8	18	23
1993	33	35	18	7	13	22	18	14	19	22	101	2	28	8	17	24
1994	29	37	18	8	12	23	18	15	20	24	114	2	34	8	16	26
1995	34	40	19	8	12	22	18	16	21	26	115	2	43	8	17	26
1996	33	40	21	8	14	22	20	17	22	25	117	2	42	8	16	27
1997	32	40	22	8	13	23	22	18	21	25	114	2	50	9	16	27
1998	37	42	23	9	14	24	21	19	21	25	122	2	51	9	17	28
1999	39	44	24	10	14	24	22	20	22	26	125	2	53	10	17	29
