2002	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	IE	LU	FI	SE	DK	NO
1975	1.603008406	4.757922535	3.658536585	3.317271495	4.308860759	3.118231716	3.917050691	14.90909091	10.17115385	11.775	11.99152542	7.691489362	6.450738916	6.865853659	9.786407767	8.047385621	13.78434066	9.197879859	10.77868852	6.597708466	8.96596018	5.211352657	5.479486534	5.844390832	7.186788155	8.060288336	15.58823529	11.31416838	9.702970297	10.53540587	18.10690423	7.51920966	91.52173913	3.501144165	3.206933911	12.16541353	2.564679415	5	13.18025258	11.91919192	6.12455516	5.221465077	11	9.25	12.8	5.703448276	9.006968641	10.27536232	5.883211679	5.5	8.276738277	3.582726142	14.85549133	4.129483815	17.6459144	14.11842105	14.68867925	11.99376947	73.98648649	51.02362205	55.77181208	1.284007707	13.48739496	10.18348624	15.03095975	5.201475596	11.75	17.89375
1976	1.829896907	5.457076566	4.185185185	3.794416244	4.79704797	3.711522965	4.401913876	13.23255814	9.916500994	12.76623377	11.8245614	7.356088561	7.093670886	6.970711297	11.00505051	7.781337605	13.90957447	9.82161235	11.43611006	6.912794398	8.367217281	5.57966522	5.532724505	4.474964684	6.559297218	6.743589744	14.16666667	10.04106776	8.696369637	9.395509499	16.43652561	6.564215148	80.86956522	3.146453089	3.477789816	12.2556391	2.418447694	5	13.63970588	12.06073753	6.290566038	5.229537367	10	10.75	11.6	5.287769784	9.199275362	10.42328042	6.5	5.818181818	7.871402043	3.815135334	15.51724138	4.48245614	17.78210117	13.37270341	15.61205273	11.49068323	73.95833333	54.83606557	54.375	1.342255306	13.61344538	8.899082569	14.84210526	4.920544835	10.57142857	17.80625
1977	1.850639227	5.548481881	4.229249012	3.850786216	4.732216424	3.914490976	4.385093168	17.30952381	11.43181818	11.04109589	13	7.356454721	6.0625	7.331896552	11.23195876	7.255969837	13.58644068	10.65549348	11.78209802	6.394806924	8.488975357	5.665778961	5.033962264	5.997442455	6.159531876	7.703225806	16.72985782	12.02839757	10.03284072	11.79023508	19.04231626	9.32356257	111.0869565	3.821138211	4.451827243	14.28977273	3.76146789	6.666666667	14.82625483	12.91759465	7.27016129	5.806331471	11	11	10.09090909	5.893939394	9.840304183	11.95321637	7.406504065	6.8	7.015865609	3.801258821	15.14285714	4.54705365	18.29126214	14.03120936	15.61975769	12.4	65.61643836	56.52542373	57.39130435	1.240228013	16.26724138	10	14.55122106	4.768725754	12.34862385	17.76923077
1978	2.060946271	6.226708075	4.663865546	4.312720848	5.150472915	4.54805492	4.812419146	17.4047619	13.12793177	11.30555556	14.61111111	8.571428571	7.368983957	8.610619469	12.05263158	7.387755102	13.93919365	10.28571429	13.41059603	6.990912151	8.91147541	5.720992622	4.95279408	5.188663701	7.470210816	7.073170732	16.42533937	13.33333333	13.06425041	13.54898336	22.31111111	10.85393258	127.8723404	3.805104408	5.539160045	14.50210379	4.317386231	5	17.06275033	15.46728972	7.531120332	6.16023166	11.33333333	10.66666667	10.8	6.60483871	10.57587549	13.2962963	7.235294118	7.666666667	7.545778835	4.561473769	17.86127168	5.544642857	18.19230769	14.49293967	16.19705341	15.16717325	72.26027397	58.68421053	63.73134328	1.397905759	16.84649123	11.56862745	15.31593407	4.775651083	12.87850467	17.58433735
1979	2.295488349	6.995614035	5.225225225	4.839132061	5.613193403	5.288981289	5.290148448	16.24390244	14.84245077	11.43055556	17.26666667	9.54158215	8.837912088	9.440909091	14.31182796	8.209750102	14.38619774	10.95840868	13.19948187	7.750433276	9.128378378	6.302695232	5.561708861	6.358208955	8.109468386	8.741633199	16.492891	12.70707071	12.68892794	13.02973978	22.70880361	11.57718121	126.8	4.034482759	4.930555556	13.42696629	3.640500569	6.666666667	17.22371968	15.03448276	7.536796537	6.28	11.33333333	13.5	9	6.444444444	10.09019608	13.32236842	7.612612613	7.333333333	6.852522327	4.611843482	17.73255814	5.703971119	17.26235741	14.86692015	16.96639419	16.31184408	75.76923077	67.52293578	69.84615385	1.676882662	14.59734513	11.81818182	18.20245627	4.882876938	13.44174757	16.69135802
1980	2.778544326	8.546203649	6.292682927	5.907630522	6.65394402	6.68274753	6.319543509	16.575	15.63982103	11.57142857	17.77227723	9.521008403	8.07082153	10.03286385	13.73480663	8.354683747	14.16455696	10.87885154	14.25958188	7.188563649	9.780292943	5.923022096	5.599892154	7.392512973	8.937681627	8.582574772	17.97927461	13.50622407	15.66420664	15.21178637	28.88625592	11.61327231	119.8113208	4.06504065	5.522208884	13.64296081	3.451327434	6.666666667	18.79943503	16.26535627	7.593028733	6.201892744	21.31578947	16.20689655	8.9	7.752928647	14.13212435	10.84182306	8.943466172	10.6779661	7.25532424	5.842049093	13.29545455	6.634016028	17.09737828	14.0948814	18.24482448	16.94189602	85.19685039	70.46296296	71.28	1.868571429	12.68778281	11.50537634	19.2232659	4.888965996	14.34825871	16.43558282
1981	3.103448276	7.430683919	5.288888889	4.778106509	6.681370886	7.048447205	7.057926829	17.76315789	14.25229358	13.2173913	18.69072165	10.28913043	9.586510264	10.32673267	13.90804598	8.808139535	13.23364486	10.49140049	15.35440613	7.78680203	10.41948579	7.42411813	6.655688623	7.531897927	9.482636428	8.217054264	20.74468085	15.77494692	15.26217228	15	27.49403341	12.06257242	123.5849057	4.757969303	5.26082131	14.59665145	4.176610979	4	20.10204082	17.97435897	7.334821429	6.506493506	40.5	15.66666667	9	6.356521739	13.58264463	13.54	9.158878505	7.333333333	6.479591837	5.438453713	13.5078534	6.461412151	19.21259843	17.45341615	20.1530153	20.03149606	77.93650794	72.3364486	73.05785124	1.686897881	12.66028708	12.87356322	18.03221289	4.812112368	16.265625	16.53374233
1982	3.158386253	7.873563218	4.862745098	5.05711775	6.82655544	6.902451481	5.935198822	25.55172414	18.96912114	15.31343284	18.2038835	12.00444444	11.39628483	12.01507538	16.7030303	9.710832974	14.19228254	11.29514776	16.62058372	8.552238806	10.43871866	7.298701299	6.877506942	6.806887533	9.500931099	9.252468265	20.16393443	15.92672414	16.11940299	16.71586716	31.44578313	13.27628362	145.2083333	5.163636364	5.329842932	17.62520194	4.901477833	5	22.23214286	19.34010152	9.511210762	7.679569892	43.5	18.33333333	9.8	8.036036036	15.77824268	15.75167785	11.34615385	9.875	6.610288936	5.883525244	15.93406593	8.954191876	21.59663866	18.59302326	20.23572076	22.99684543	105.6557377	76.83168317	80.94827586	1.936458333	13.94387755	15.92592593	18.20815451	4.790947449	18.47311828	16.13207547
1983	3.113361056	9.321357285	5.344827586	5.932982917	7.057382785	7.253707627	6.372093023	25.71428571	18.11622276	15.3030303	16.06	12.24413146	11.62939297	11.45549738	16.83850932	9.363867684	13.89236546	10.79495053	16.60587639	9.016949153	10.95441595	7.538593482	6.832579186	9.316073355	12.19662058	9.958391123	21.2804878	14.39393939	15.10948905	14.5229682	25.80299786	12.58555133	155.8139535	5.030826141	4.86631016	17.05	5.278858625	7.5	22.09198813	19.4629156	8.909090909	7.143776824	41	16	9	7.587155963	14.42259414	14.39189189	10.25471698	9	5.34456016	5.405579399	19.28205128	7.171799028	23.125	16.96936543	22.46575342	22.87974684	105	77.60416667	83.77192982	2.014285714	14.30051813	14.35897436	18.73085339	4.800322711	16.97837838	15.23529412
1984	3.214539007	10.38173142	7.352941176	7.179128814	7.164966585	9.191919192	7	27.40740741	20.17955112	17.71875	19.25773196	13.55825243	12.69407895	12.17934783	17.00641026	10.20798669	14.27141964	11.26356318	16.37762955	8.392516228	10.6312769	7.648099027	6.800125117	8.465038314	11.23832724	9.719251337	32.0979021	19.56427015	21.38240575	20.73813708	27.68316832	12.81782438	206.9444444	5.233881163	6.048834628	23.79679144	6.431322208	6	23.2	20.43478261	9.575342466	7.264516129	28.66666667	16	9.7	8.113207547	15.43277311	15.95138889	12.62376238	9.625	6.613190731	5.669029685	15.8974359	6.380566802	24.18141593	18.73809524	24.28440367	24.67987805	108.4821429	82.44680851	92.88288288	2.18231441	15.24867725	15.73333333	19.72942073	4.915182358	20.6010929	17.12080537
