Year,AGO,ARG,AUS,AUT,BDI,BEL,BEN,BGD,BOL,BRA,BRB,BUR,BWA,CAF,CAN,CHE,CHL,CIV,CMR,COG,COL,CPV,CRI,CSK,CYP,DEU,DNK,DOM,DZA,ECU,EGY,ESP,FIN,FJI,FRA,GAB,GBR,GHA,GIN,GMB,GNB,GRC,GTM,GUY,HKG,HND,HTI,HVO,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KOR,LKA,LSO,LUX,MAR,MDG,MEX,MLI,MLT,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NLD,NOR,NZL,PAK,PAN,PER,PHL,PNG,PRI,PRT,PRY,RWA,SEN,SGP,SLV,SOM,SUR,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TTO,TUN,TUR,UGA,URY,USA,VEN,YUG,ZAF,ZAR,ZMB,ZWE
1960,879,3293,7879,5176,593,5583,1122,798,1112,1758,2705,296,552,661,7288,9639,2893,975,701,1059,1652,482,2021,2468,2043,6637,6751,1162,1717,1433,770,3196,5367,2046,6013,1786,6548,863,389,488,480,2088,1641,1524,2210,1007,873,473,625,665,3184,2535,5172,3322,4636,1788,1141,3033,642,907,1285,289,8112,790,1161,2809,499,1346,1129,862,2803,371,1397,1772,503,560,6122,5665,7920,618,1520,1917,1119,1128,3069,1869,1215,519,1016,1712,1372,1015,2097,7492,1227,1260,1519,667,364,929,5577,1088,1604,680,3829,9776,6194,1955,2109,459,944,990
1961,925,3513,7678,5420,570,5841,1139,812,1116,1845,2848,293,576,679,7298,10328,3002,997,720,1058,1700,515,2040,2624,2204,6888,7134,1112,1595,1438,773,3573,5755,2102,6287,1974,6690,905,402,455,468,2312,1669,1566,2314,1001,830,426,651,637,3348,2446,5077,3605,4993,1787,1282,3436,551,920,1171,290,8557,961,1151,2836,482,1347,1131,883,3259,402,1453,1776,518,548,6269,5914,8025,637,1629,2028,1138,1221,3296,2004,1248,490,1038,1798,1353,1062,2168,7857,1528,1183,1546,657,363,946,6063,1121,1613,657,3803,9835,6253,2079,2133,433,943,1006
1962,932,3346,8089,5512,475,6104,1102,809,1183,1894,3090,350,601,650,7645,10581,3067,1020,762,1069,1735,466,2095,2677,2447,7099,7505,1316,1275,1427,819,3912,5825,2062,6608,2107,6697,898,434,434,476,2330,1677,1477,2526,1014,858,442,638,643,3482,2538,5370,3788,5285,1825,1282,3643,577,931,1318,331,8653,1073,1157,2871,470,1305,1202,862,2960,377,1512,1951,573,550,6445,6141,8109,648,1718,2165,1203,1297,3572,2077,1271,451,1068,1863,1518,1114,2200,8129,1643,1258,1865,696,369,981,5954,1094,1651,677,3757,10234,6610,2048,2208,548,918,938
1963,949,3203,8485,5718,476,6305,1151,905,1227,1865,2959,392,612,626,7914,10849,3128,1107,738,1017,1695,438,2190,2596,2578,7209,7394,1399,1496,1418,865,4207,5911,2200,6869,2365,6927,903,440,519,551,2574,1720,1293,2906,1020,840,416,597,682,3632,2533,5849,3994,5580,1823,1348,3983,609,992,1259,362,8092,1206,1125,2992,478,1318,1226,799,3064,371,1552,2053,584,579,6616,6433,8340,683,1819,2217,1224,1347,3790,2197,1276,433,1095,1976,1556,1106,2217,8495,1649,1365,1528,660,355,1022,6321,1172,1794,701,3647,10514,6807,2238,2332,525,861,885
1964,957,3483,8981,6015,424,6687,1149,907,1240,1864,3071,358,631,643,8284,11258,3181,1224,710,1011,1825,459,2209,2539,2287,7641,8124,1462,1557,1521,967,4413,6233,2288,7279,2451,7276,876,418,496,576,2798,1752,1476,3091,1046,829,417,609,714,3787,2668,6232,4231,5657,1998,1460,4449,611,1025,1194,377,7993,1227,1093,3227,393,1340,1237,943,3237,361,1580,2201,566,604,7158,6727,8634,730,1838,2304,1204,1477,4091,2253,1309,357,1095,1861,1624,984,2187,9025,1790,1401,2010,624,418,1085,6577,1184,1798,726,3694,10928,7237,2482,2450,500,890,916
1965,1002,3720,8955,6178,367,6860,1211,974,1309,1843,3358,389,595,623,8709,11425,3256,1199,731,1032,1782,454,2368,2775,2723,7999,8433,1237,1551,1562,975,4692,6607,2096,7540,2575,7378,857,420,592,581,3066,1763,1524,3457,1091,843,388,593,644,3862,2934,6507,4430,5765,2120,1574,4600,603,1058,1223,378,8738,1183,1084,3320,406,1457,1238,980,3082,402,1645,2287,607,628,7431,7029,8991,862,1940,2382,1232,1562,4345,2415,1312,339,1104,1931,1671,883,2514,9285,1688,1333,1936,636,491,1121,6370,1219,1793,730,3528,11492,7349,2442,2522,514,1088,943
1966,1005,3690,9282,6475,379,7027,1199,915,1356,1874,3458,377,601,616,9142,11580,3436,1198,735,1066,1878,511,2460,3243,2906,8088,8559,1374,1514,1685,967,4988,6690,2036,7893,2679,7482,835,413,612,524,3181,1781,1629,3676,1119,842,382,598,586,3862,3070,6985,4335,6085,2196,1609,5041,648,1166,1236,449,8604,1124,1084,3435,398,1597,1250,947,2972,428,1704,2363,722,587,7562,7296,9084,864,2041,2525,1242,1622,4581,2479,1315,471,1115,2076,1736,924,2842,9370,1768,1343,1736,651,493,1210,6412,1229,1970,759,3688,11999,7168,2561,2587,576,1011,959
1967,1017,3734,9503,6636,394,7252,1168,981,1389,1938,3824,355,716,632,9279,11794,3455,1193,805,1181,1843,627,2504,3200,3220,8001,8775,1356,1562,1787,962,5163,6752,2180,8203,2716,7665,872,408,599,592,3316,1816,1683,3722,1135,790,415,604,617,4014,3252,6912,4319,6499,2254,1687,5547,667,1218,1250,446,7949,1145,1095,3549,397,1717,1337,908,3092,444,1713,2342,717,490,7887,7667,8664,894,2155,2558,1295,1615,4737,2659,1359,528,1081,2270,1763,940,2934,9603,1654,1420,1873,615,529,1248,6490,1206,2000,756,3544,12160,7236,2648,2687,561,1075,1001
1968,1017,3835,10240,6887,393,7509,1122,972,1503,2121,4006,373,802,655,9635,12062,3506,1313,854,1171,1920,631,2576,3425,3393,8479,9030,1330,1724,1810,1018,5429,6837,2230,8498,3303,7934,879,395,600,613,3550,1888,1675,3840,1176,792,424,630,637,4355,3559,6445,4909,6863,2519,1639,6223,686,1343,1246,450,8260,1237,1069,3730,388,1881,1399,897,3036,439,1761,2363,716,484,8335,7739,8577,934,2236,2422,1336,1658,4837,2934,1393,526,1126,2516,1782,937,3098,9893,1784,1496,1873,541,529,1315,6136,1244,2089,752,3501,12555,7353,2785,2756,560,1098,972
1969,1081,4063,10556,7207,390,7965,1076,1013,1512,2204,4388,380,834,677,10034,12612,3549,1294,875,1327,2003,643,2633,3638,3709,9080,9607,1424,1809,1885,1056,5864,7522,2268,9062,3644,8001,898,371,599,705,3907,1922,1719,4249,1158,802,424,668,661,4657,3763,6426,5459,7270,2629,1686,6842,698,1467,1304,447,9171,1278,1105,3810,374,2030,1463,918,2629,452,1785,2439,658,628,8778,8035,9094,917,2353,2466,1379,1831,5456,3017,1426,572,998,2849,1776,767,2879,10295,2110,1490,2229,631,562,1386,7014,1305,2142,788,3749,12806,7437,3217,2896,585,1015,1007
