2002	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	IE	LU	FI	SE	DK	NO
1975	14.81	17.15	15.31	15.59	14.59	20.85	18.36	27.92	23.66	23.96	23.73	23.28	25.21	23.89	28.82	21.85	21.89	17.02	21.94	16.18	26.55	15.14	18.78	19.29	18.64	20.82	23.13	14.29	15.83	5.95	41.72	16.36	20.62	29.61	15.5	35.04	5.01	22.18	18.66	16.12	24.07	21.93	32.04	32.35	39.3	24.02	24.67	26.69	28.49	22.34	6.5	9.52	9.7	6.61	56.77	22.08	34.74	23.59	20.95	18.32	21.07	7.59	19.56	23.44	24.72	32.62	20.22	31.8
1976	15.64	17.8	16.1	16.46	15.21	21.52	19.62	29.18	26.05	24.74	25.38	24.01	26.52	24.87	32.03	25.39	23.43	19.27	24.07	18.35	28.88	17.89	21	21.24	19.23	24.27	24.95	15.03	16.5	6.55	43.47	17.17	21.13	31.53	16.11	36.93	4.78	22.25	20.43	17.77	26.03	23.8	32.96	34.85	40.25	26.63	27.42	28.4	30.52	23.9	7.37	10.68	10.41	7.4	64.37	23.31	36.05	25.57	22.47	19.31	22.52	8.47	19.68	24.31	24.88	32.59	21.15	35.37
1977	17.14	19.17	17.77	17.98	16.63	23.09	21.08	31.34	27.35	25.24	26.72	26.02	28.77	26.44	32.6	25.43	25.29	20.48	25.94	19.74	29.65	19.54	22.23	20.84	20.45	26.06	24.61	15.74	17.16	7.19	47.6	17.66	22.35	32.13	16.6	39.02	4.59	24.79	21.56	18.54	27.64	24.73	36.13	37.89	43.73	27.48	28.39	29.25	31.61	24.93	7.6	11.13	10.09	7.76	68.36	23.48	35.19	24.97	23.79	20.39	23.9	8.39	19.25	24.9	24.87	31.61	21.46	34.57
1978	18.09	19.89	18.88	18.95	17.51	23.85	21.74	32.28	28.52	26.39	27.74	27.36	28.29	27.48	31.77	26.3	25.47	21.43	25.82	20.1	28.59	20.04	21.02	20.62	20.95	28.01	23.91	15.68	16.7	7.07	48.22	17.13	23.79	31.5	16.36	38.12	4.69	26.65	22.83	20.69	28.45	26.03	37.63	36.57	44.44	28.52	29.63	29.38	30.99	25.02	8.36	12.32	10.39	8.63	63.18	23.37	35.64	25.1	23.39	19.44	23.44	8.88	19.82	26.48	26.29	31.68	21.64	39.42
1979	19.14	20.7	20.1	20.02	18.47	24.69	22.55	33.2	29.2	28.4	28.17	27.83	30.68	28.34	33.85	28.36	27.71	23.43	27	22.49	30.97	20.76	23.45	22.87	23.62	31.18	24.59	15.63	16.79	7.42	49.26	17.58	23.32	30.23	17.77	37.8	4.71	28.55	25.12	22.39	29.49	27.17	39.63	37.88	48.27	29.62	30.42	31.35	33.24	27.89	9.14	13.51	10.59	9.52	63.54	22.44	36.95	25.73	24.83	21.56	26.08	9.33	20.31	28.91	29.59	32.42	23.13	47.66
1980	20.34	21.64	21.49	21.29	19.57	25.67	23.4	33.56	29.62	28.42	27.5	28.51	31.41	28.61	32.35	28.1	29.67	27.23	31.91	26.36	32.3	22.61	22.64	21.92	23.85	26.35	24.46	14.89	16.37	7.31	45.42	17.18	20.87	28.39	15.74	34.87	3.71	30.59	25.89	24.05	29.21	26.54	39.87	34.04	46.04	28.82	29.2	29.77	29.89	24.67	9.74	14.89	9.74	9.79	70.23	21.86	34	24.01	25.89	22.64	26.46	9.33	20.21	29.44	30.47	32.46	23.75	54.15
1981	21.43	23.67	22.49	22.44	20.04	24.24	21.55	33.49	29.61	28.35	28.27	29.42	32.74	29.47	33.67	26.66	28.5	25.75	30.75	25.27	30.57	21.06	22.34	20.54	25.38	24.06	24.91	14.49	16.12	6.99	45.63	17.26	19.66	26.39	15.3	35.61	4.27	30.53	26.76	25.39	28.23	25.13	37.17	31.53	47.06	28.27	27.35	28.57	29.02	23.79	10.16	15.29	9.32	10.34	82.17	20.42	30.69	22.67	25.6	21.44	26.03	9.23	19.85	28.53	28.87	31.99	23.58	54.6
1982	22.64	24.57	23.91	23.02	20.83	27.13	25.99	39.26	29.01	27.95	27.43	28.93	34.47	29.24	33.07	27.77	28.36	27.28	29.96	25.8	32.51	24.12	23.87	21.75	27.67	26.07	29.1	17.45	19.35	8.02	47.68	19.03	21.46	28.81	17.63	42.62	4.73	31.11	27.38	24.77	27.89	26.31	39.67	34.13	43.46	27.69	28.4	28.89	29.07	22.38	10.34	14.31	8.9	10.22	75.87	19.59	30.14	22.21	26.32	22.26	26.03	9.24	19.13	29.04	29.75	31.85	25.4	55.33
1983	23.07	23.87	26.47	23.31	23.36	30.09	25.39	42.68	28.85	26.59	28.31	28.14	37.44	28.92	35.91	28.72	28.62	27.49	29.85	26.82	34.49	25.02	24.29	22.53	29.76	30.74	33.05	19.53	21.19	8.59	52.65	20.59	23.54	31.58	19.43	48.96	5.47	34.06	29.72	27.41	29.62	27.87	43.21	34.54	46.48	29.65	29.79	30.14	30.61	23.71	10.44	14.72	8.72	10.42	81.84	21.69	32.8	24.12	28.18	23.24	27.94	9.33	19.75	30.33	30.92	31.94	27.13	61.75
1984	25.3	24.22	26.89	26.78	24.01	30.01	26.82	41.89	29.85	27.6	29.51	28.09	37.07	30.28	36.57	31.41	30.26	30.02	33.51	28.46	37.25	28.11	26.17	25.62	35.68	39.81	35.02	19.16	21.72	9.33	54.78	21.75	24.48	31.34	19.81	46.67	5.86	38.14	33.43	30.83	31.19	29.66	48.81	35.04	50.33	30.78	32.51	32.05	31.85	25.05	10.82	14.74	9.77	9.9	89.78	22.66	35.85	26.15	30.09	25.12	29.08	9.16	23.24	34.74	31.92	32.7	28.47	71.83
1985	26.64	26.12	27.2	28.42	24.27	28.65	27.02	43.38	32.41	28.9	29.64	28.08	35.31	31.42	39.24	35.36	33.77	32.42	33.86	31.42	38.61	31.14	28.27	27.51	36.34	37.74	38.04	21.43	24.76	9.95	59.58	22.7	28	33.48	19.96	53.49	6.36	33.88	34.99	31.25	32.54	30.72	51.45	36.33	53.39	32.21	33.94	33.69	32.92	26.71	11.84	16.19	9.68	10.39	101.83	24.16	37.42	27.38	31.32	26.05	30.85	9.89	29.17	37.03	31.66	32.91	28.66	73.68
1986	26.19	27.67	27.11	27.99	25.48	29.29	37.87	45.91	33.1	29.36	30.87	29.34	33.59	32.93	39.9	37.27	35.78	32.7	35.05	31.27	44.42	30.85	27.47	31.46	44.49	40.05	40.3	23.88	27.59	10.47	63.56	23.54	30.73	35.55	22.4	55.44	6.83	34.52	35.52	32.53	32.06	28.58	46.97	33.32	52.65	30.91	30.18	32.51	32.82	28.72	11.47	16.78	10.02	10.94	81.31	27.08	40.25	31.94	34.06	26.13	30.87	10.46	28.36	37.93	31.92	33.33	28.05	59.38
1987	27.55	28.13	28.51	29.9	25.99	30.11	41.8	46.92	33	30.38	32.52	29.78	33.65	33.87	39.59	39.28	36.72	34.49	37.46	30.96	44.88	32.84	33.2	31.27	47.89	39.69	44.74	24.65	29.9	10.87	66.8	25.08	33.96	36.38	24.36	59.22	7.04	35.25	36.21	33.85	31.5	28.59	46.12	33.28	45.33	30.64	28.34	30.95	32.37	28.27	12.11	16.55	9.84	11.18	68.86	30.84	43.11	34.65	35.13	25.23	31.56	11.06	28.62	36.9	32.93	33.7	26.59	58.32
