2002	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	IE	LU	FI	SE	DK	NO
1975	61.82	83.78	71.95	80.70	80.52	84.67	81.79	112.29	101.41	92.34	99.48	87.82	90.35	56.31	58.27	69.05	57.38	78.56	88.45	88.20	88.90	73.30	75.39	70.71	96.81	88.21	99.26	90.76	85.01	75.98	119.34	87.50	179.38	105.59	84.95	111.09	73.78	108.05	94.71	91.33	90.49	93.20	108.78	104.40	112.42	92.06	89.32	100.69	93.62	94.33	36.71	46.01	59.22	45.06	110.22	71.79	90.62	76.73	141.61	108.51	112.91	47.42	68.22	98.64	83.06	122.43	90.22	109.98
1976	62.88	85.14	73.27	82.06	81.63	85.93	83.53	111.88	103.56	94.11	100.97	88.21	92.29	57.39	62.70	72.33	59.04	81.43	91.25	90.68	90.63	76.43	77.66	71.30	96.77	90.35	99.66	90.23	84.67	75.45	119.42	87.36	169.24	107.16	85.83	113.07	73.41	108.12	96.93	93.12	92.62	95.07	108.70	108.41	112.17	94.25	92.25	102.55	96.26	96.21	37.17	47.40	60.59	46.20	117.95	72.28	92.85	78.20	143.10	113.31	112.97	48.35	68.47	98.23	83.03	122.13	89.97	113.46
1977	65.93	88.65	75.99	85.04	84.35	88.84	86.78	120.63	107.99	94.48	104.84	91.88	94.63	59.59	64.16	70.79	60.88	82.84	93.91	91.04	91.15	78.23	78.09	73.26	97.45	94.03	102.09	93.09	87.17	79.62	126.45	91.24	203.86	110.27	88.89	119.09	76.80	113.83	101.17	95.64	96.25	98.19	113.90	115.76	117.03	98.48	95.91	107.59	100.06	99.58	38.46	48.42	60.83	47.06	122.67	73.17	93.38	79.06	137.11	117.68	117.42	48.48	71.24	100.68	81.63	120.69	94.30	111.18
1978	67.24	89.26	77.32	87.99	88.19	91.20	88.90	123.36	112.50	96.98	108.73	96.30	96.60	62.57	65.15	71.35	62.03	83.90	96.95	92.68	91.32	79.97	77.59	74.05	100.34	96.40	101.33	94.58	91.01	82.71	131.91	93.51	225.40	111.27	94.05	119.79	78.38	114.25	105.04	97.71	94.68	97.41	116.03	114.66	120.01	101.24	100.64	110.07	100.01	101.82	38.82	50.28	63.80	49.20	118.02	73.15	95.12	82.10	143.92	119.44	123.43	49.22	75.35	104.70	83.84	118.27	95.32	116.06
1979	68.41	90.71	79.69	90.56	91.10	92.80	91.08	124.35	116.95	100.03	113.12	99.36	101.66	64.85	70.47	73.71	65.33	87.50	99.83	96.89	95.25	82.85	81.79	79.70	105.31	101.24	103.21	94.96	91.59	82.28	133.41	95.44	226.28	113.87	95.97	122.24	80.86	121.22	106.79	99.56	95.56	97.39	119.02	119.68	123.91	103.72	102.58	111.60	102.17	104.24	39.99	52.76	64.48	51.63	117.28	73.35	97.79	84.25	149.04	130.39	132.97	50.90	74.84	108.42	90.79	119.35	98.05	124.10
1980	70.11	93.39	82.49	94.64	94.93	96.38	94.87	127.41	120.13	101.62	114.57	101.58	103.58	66.35	69.46	73.11	67.75	90.77	106.20	99.55	97.11	84.50	80.85	80.75	107.77	97.21	104.95	96.21	95.18	85.67	137.47	96.51	219.29	113.55	96.53	122.19	82.94	124.77	109.31	105.44	97.62	98.73	133.86	120.93	123.38	105.44	107.50	108.46	101.95	104.93	40.52	55.30	58.73	52.68	125.19	72.02	95.43	83.86	159.09	134.19	133.93	50.76	73.68	110.18	93.88	121.33	101.53	128.70
1981	76.15	97.13	85.52	93.70	94.57	93.13	95.46	123.24	114.35	103.57	114.24	103.88	103.84	67.30	70.96	71.49	65.26	87.90	105.92	97.77	95.27	84.07	80.89	79.97	110.10	95.55	111.09	98.92	96.06	87.02	137.62	98.91	217.34	109.21	97.43	124.95	82.14	119.22	117.15	110.62	102.17	96.75	146.93	115.02	123.25	100.72	103.59	111.99	102.47	101.78	40.98	55.59	58.30	52.97	138.32	73.13	93.94	84.67	151.87	134.51	135.83	50.04	75.19	111.76	91.74	120.93	102.59	127.77
1982	78.60	97.75	86.31	99.81	99.54	98.03	103.92	141.38	123.53	108.19	116.69	110.45	112.63	69.87	74.60	69.92	66.60	90.41	107.83	100.14	97.64	86.45	83.29	81.43	113.62	98.66	115.60	102.14	100.89	90.28	144.18	102.96	240.75	111.00	99.26	134.81	83.71	118.89	118.83	110.15	104.97	98.49	149.73	116.49	117.54	99.66	104.49	115.02	105.34	102.49	41.49	56.54	61.53	55.69	135.53	74.17	94.21	87.94	180.72	140.08	144.23	51.78	76.89	115.26	93.52	119.57	105.98	126.69
1983	82.70	102.22	93.31	100.87	103.44	102.76	104.48	146.06	124.13	107.31	116.14	110.83	116.69	68.59	78.10	69.82	66.38	90.71	108.51	100.18	100.16	90.11	84.28	87.04	121.36	105.96	122.91	103.40	100.47	87.05	143.41	104.00	253.09	112.97	98.98	139.41	84.03	121.14	117.74	112.38	103.30	98.85	150.05	115.75	120.25	101.82	104.91	116.59	106.96	104.90	40.90	57.11	65.37	54.76	143.33	74.95	99.49	90.42	182.50	142.76	150.25	52.60	77.18	115.34	96.89	119.33	108.06	132.31
1984	83.69	103.37	94.73	107.24	106.30	107.05	106.05	149.55	129.88	112.16	121.52	113.60	119.19	70.69	79.55	73.89	69.24	93.85	113.57	100.60	103.53	95.26	86.94	90.18	126.50	114.52	136.73	108.27	107.30	94.46	148.20	104.64	305.38	113.41	99.70	144.52	86.30	121.83	122.08	115.85	105.07	101.54	145.30	116.69	124.86	103.82	109.62	121.48	110.46	107.06	42.73	57.63	63.77	54.19	152.97	78.75	105.77	94.45	189.69	150.97	160.46	53.90	81.32	122.40	99.66	120.45	113.91	145.42
1985	83.39	103.57	91.17	111.15	108.60	107.85	107.39	152.19	135.75	113.67	123.82	115.10	119.04	72.28	85.06	78.53	79.01	102.11	115.74	109.44	111.89	100.54	89.18	96.31	127.46	114.71	133.64	110.11	108.51	94.52	155.13	108.25	309.01	115.41	100.40	145.97	85.01	127.90	125.81	116.48	109.98	103.89	136.84	120.29	127.87	110.17	113.56	120.33	112.12	116.97	43.62	59.54	57.95	56.68	164.92	82.09	105.54	94.95	184.59	149.23	163.53	55.11	86.40	124.93	100.12	122.69	115.70	147.69
1986	82.23	104.97	90.98	105.56	106.28	107.34	114.09	152.89	132.37	112.25	122.78	112.64	115.28	74.56	87.56	79.08	82.08	101.48	116.50	109.34	111.56	98.90	88.14	107.83	137.40	118.71	134.13	112.13	111.60	96.93	156.43	109.74	339.96	118.52	104.29	150.97	84.33	124.72	124.53	120.77	113.09	105.63	133.22	118.38	127.25	110.03	112.15	121.59	110.35	122.25	43.78	61.77	67.37	56.49	146.06	89.72	112.87	101.06	195.78	152.42	164.46	56.03	87.46	125.91	102.57	123.63	115.40	137.10
1987	84.14	106.05	92.90	109.29	108.40	108.97	121.25	154.18	133.79	111.44	125.26	115.42	116.59	77.01	87.58	81.52	85.05	104.03	116.41	108.43	111.77	101.00	95.04	107.93	141.40	119.19	142.70	116.58	118.89	98.15	165.57	113.33	336.31	119.25	105.75	157.54	85.73	130.78	128.09	121.08	113.95	104.44	130.17	118.28	121.55	108.15	106.62	119.28	109.93	119.33	45.43	60.78	65.63	58.04	135.25	95.11	118.20	102.69	204.50	158.52	165.26	58.58	91.40	125.92	105.08	124.86	114.73	143.44
1988	86.27	107.99	93.35	111.90	108.39	110.07	121.50	160.09	139.38	117.72	131.02	116.89	119.72	81.07	92.05	86.61	89.79	104.82	119.42	110.60	113.36	100.94	100.75	110.61	145.15	123.45	143.77	112.85	118.40	97.84	167.17	116.63	303.99	121.19	108.08	163.98	85.52	128.48	133.51	131.35	115.97	107.13	133.39	117.44	123.15	110.63	107.68	122.82	113.38	126.77	48.34	65.29	69.19	59.65	133.54	92.16	121.29	105.04	213.95	165.03	173.06	60.42	98.10	131.52	106.40	126.36	118.53	140.55
1989	89.97	114.43	98.57	116.14	114.30	112.97	124.34	164.51	145.13	121.66	136.33	120.03	123.41	83.81	95.59	86.55	95.52	106.45	120.65	114.72	117.59	102.94	102.47	112.66	142.49	124.78	150.50	116.50	125.14	102.67	166.19	118.90	299.71	121.07	107.37	163.54	88.27	133.37	139.28	132.61	120.32	108.47	136.14	115.08	123.15	110.31	110.50	127.87	116.76	123.28	49.57	65.96	69.44	59.51	147.33	99.82	126.88	112.31	207.75	176.10	180.62	61.19	103.18	136.50	106.31	126.06	123.97	150.58
1990	90.02	114.40	99.37	117.60	115.26	116.69	130.65	167.05	149.99	122.70	137.09	120.97	125.33	87.22	99.90	88.51	100.59	107.84	123.38	115.20	117.59	103.86	100.79	107.21	145.21	126.40	154.06	119.22	126.11	108.46	170.21	124.16	264.42	124.37	109.88	164.68	88.19	135.05	138.59	131.56	126.30	114.71	138.43	121.21	124.61	114.13	115.42	131.29	122.47	133.83	48.83	65.34	67.14	59.37	149.39	100.93	126.67	111.28	213.93	175.95	187.79	60.97	107.80	138.97	107.59	126.77	125.86	160.58
1991	90.59	118.54	99.51	120.01	116.68	118.35	130.19	173.65	151.74	123.98	136.88	120.56	124.41	87.13	102.42	84.58	101.02	106.63	121.58	114.80	121.08	106.90	102.55	107.15	150.98	127.95	167.89	122.40	124.26	108.19	167.08	126.09	263.12	125.70	109.92	170.94	89.66	135.64	139.41	134.35	124.08	114.46	138.36	123.31	133.59	114.72	119.96	135.99	126.46	130.08	50.12	66.97	70.66	59.56	139.88	93.12	124.81	109.10	207.27	175.21	175.69	59.99	108.65	136.67	111.14	128.29	132.30	163.64
1992	93.59	118.05	112.87	124.04	123.82	104.42	140.09	177.10	163.65	130.57	145.18	131.61	135.12	87.94	104.74	86.90	104.02	110.07	130.31	116.75	119.09	107.39	101.33	107.99	153.75	134.83	177.96	123.78	128.57	108.64	174.64	131.19	286.90	127.61	107.89	183.19	89.73	142.07	140.94	136.55	128.42	114.97	116.17	119.31	139.17	116.17	122.92	137.98	126.84	133.56	48.67	68.05	67.10	56.87	135.70	91.18	122.15	109.34	207.03	163.38	177.05	59.77	116.53	139.59	118.33	130.40	132.43	169.75
1993	93.83	118.47	103.81	124.76	123.30	108.57	137.39	170.86	155.86	127.64	141.55	127.57	130.44	90.06	106.97	88.32	111.71	111.25	134.12	116.73	121.80	107.50	99.35	105.13	155.33	134.67	180.29	125.70	131.86	109.45	180.70	132.37	246.63	132.94	109.29	183.35	91.26	140.04	149.34	138.18	119.52	109.13	119.88	115.54	135.52	113.44	122.36	135.02	125.42	135.52	45.93	65.16	66.94	55.61	131.22	89.67	119.75	102.58	204.06	167.88	177.62	59.56	115.06	142.40	123.99	134.82	138.44	178.36
1994	95.20	120.73	107.18	126.83	125.84	114.01	138.76	172.10	160.62	133.33	148.35	130.29	132.67	92.75	105.06	97.20	116.05	117.30	138.84	122.51	127.33	112.43	104.60	110.94	163.32	138.42	184.53	126.84	131.66	109.83	193.15	136.94	231.16	139.20	112.12	197.23	93.24	160.93	150.39	142.15	125.10	111.80	122.33	116.81	139.63	112.66	125.44	137.52	126.99	136.25	49.44	62.44	78.47	59.94	129.27	95.54	129.28	109.41	220.00	205.79	181.62	61.58	122.27	145.98	135.54	141.71	143.62	184.49
1995	100.08	124.69	111.26	130.99	128.08	116.76	138.02	177.21	161.23	134.15	148.86	131.07	132.48	91.98	107.57	102.83	116.86	122.00	141.05	127.79	131.95	115.92	106.37	112.36	168.96	145.37	175.72	128.08	132.66	111.37	189.65	140.26	232.79	138.72	112.53	196.32	94.07	161.40	161.62	155.48	129.21	114.80	123.05	117.12	142.94	116.81	128.58	140.56	131.33	151.83	49.00	71.23	74.23	59.67	134.14	102.65	135.16	116.35	209.73	216.43	191.12	63.15	127.82	145.55	139.24	147.70	150.50	190.70
