Year,AUS,AUT,BEL,CAN,DNK,FIN,FRA,GER,ITA,JAP,NLD,NOR,SWE,UK,USA
1900,2923,1651,2130,1835,1753,1024,1609,950,1361,677,2146,1218,1487,2783,2922
1901,2799,1640,2124,1959,1802,1004,1583,915,1425,692,2066,1237,1460,2756,3189
1902,2798,1687,2135,2086,1822,976,1555,922,1426,648,2136,1252,1450,2805,3158
1903,2823,1684,2154,2103,1906,1034,1585,959,1439,684,2161,1240,1550,2749,3251
1904,2916,1693,2181,2074,1925,1062,1593,983,1433,682,2109,1233,1556,2741,3150
1905,2910,1770,2216,2218,1936,1069,1619,990,1474,664,2148,1242,1562,2802,3316
1906,3138,1819,2236,2406,1967,1101,1645,1006,1499,744,2220,1281,1652,2875,3628
1907,3168,1912,2244,2415,2014,1126,1714,1036,1639,760,2197,1323,1675,2907,3618
1908,3049,1901,2245,2237,2050,1122,1700,1039,1624,756,2166,1357,1657,2755,3258
1909,3137,1876,2266,2395,2100,1156,1765,1046,1708,746,2241,1380,1631,2796,3584
1910,3295,1885,2319,2536,2134,1170,1657,1070,1609,748,2238,1419,1715,2862,3546
1911,3316,1927,2367,2640,2217,1190,1809,1089,1690,778,2272,1452,1743,2927,3604
1912,3335,2008,2399,2768,2193,1241,1950,1127,1715,794,2365,1504,1779,2962,3715
1913,3390,1985,2407,2800,2247,1295,1934,1163,1789,795,2400,1573,1798,3068,3786
1914,3128,1648,2240,2543,2355,1228,1796,979,1746,761,2293,1591,1770,3072,3428
1915,3074,1519,2201,2704,2174,1155,1803,928,1913,820,2327,1642,1758,3315,3474
1916,3203,1506,2328,2947,2236,1162,1922,939,2109,935,2345,1678,1723,3380,3899
1917,3127,1481,2010,3013,2086,970,1654,945,2161,955,2150,1509,1500,3405,3748
1918,3086,1464,1637,2806,1998,841,1330,956,2214,957,1987,1437,1471,3431,4042
1919,2940,1293,1936,2565,2219,1018,1569,930,1874,1048,2444,1665,1550,3035,4058
1920,2959,1382,2261,2478,2291,1132,1801,1005,1729,973,2502,1748,1627,2832,3966
1921,3169,1518,2315,2218,2196,1156,1716,1107,1688,1067,2627,1584,1553,2582,3802
1922,3240,1648,2517,2503,2392,1263,2015,1198,1768,1050,2727,1751,1687,2697,3957
1923,3285,1628,2585,2629,2617,1342,2095,988,1855,1038,2748,1777,1769,2768,4403
1924,3384,1812,2644,2617,2599,1365,2332,1150,1876,1053,2902,1758,1818,2862,4452
1925,3369,1928,2660,2836,2513,1429,2325,1270,1992,1081,2983,1855,1877,2992,4488
1926,3320,1955,2727,2942,2639,1468,2372,1296,1991,1074,3176,1884,1976,2871,4716
1927,3320,2008,2807,3167,2674,1569,2318,1417,1923,1073,3263,1948,2032,3091,4698
1928,3199,2095,2930,3375,2747,1661,2473,1470,2051,1143,3391,2005,2123,3115,4692
1929,3146,2118,2882,3307,2913,1667,2629,1457,2096,1162,3373,2184,2247,3200,4928
1930,2984,2054,2839,3144,3066,1636,2529,1428,1967,1061,3321,2335,2286,3164,4408
1931,2837,1883,2771,2624,3076,1584,2364,1313,1931,1054,3074,2141,2196,2988,4009
1932,2921,1684,2627,2409,2967,1565,2209,1209,1965,1125,2985,2269,2129,2994,3450
1933,3039,1623,2669,2214,3037,1658,2366,1278,1949,1217,2938,2311,2161,3069,3359
1934,3106,1633,2636,2421,3101,1834,2339,1387,1933,1204,2849,2371,2318,3261,3600
1935,3195,1665,2790,2589,3146,1898,2280,1481,2100,1216,2922,2460,2458,3372,3862
1936,3303,1715,2801,2702,3200,2012,2368,1600,2083,1287,3077,2597,2593,3510,4385
1937,3433,1807,2829,2926,3254,2112,2504,1761,2203,1328,3221,2676,2708,3616,4573
1938,3437,2039,2755,2972,3308,2203,2492,1978,2215,1405,3112,2728,2744,3644,4331
1939,3428,2346,2936,3116,3440,2091,2675,2053,2357,1615,3287,2840,2920,3642,4636
1940,3614,2268,2601,3501,2937,1976,2256,2051,2348,1649,2864,2571,2821,3987,4965
1941,3981,2416,2485,3935,2625,2039,1847,2169,2298,1648,2686,2618,2853,4351,5784
1942,4400,2281,2279,4557,2657,2042,1664,2181,2257,1617,2435,2500,3007,4442,6802
1943,4515,2328,2226,4701,2916,2268,1596,2237,2031,1619,2360,2432,3112,4503,7931
1944,4316,2378,2345,4815,3182,2261,1352,2313,1639,1525,1571,2284,3184,4306,8477
1945,4057,988,2470,4620,2908,2117,1436,1689,1275,772,1593,2534,3233,4103,8229
1946,3866,1121,2608,4493,3316,2260,2151,950,1664,835,2642,2773,3544,3923,6585
1947,3906,1241,2737,4591,3464,2281,2309,1674,1939,891,2993,3053,3586,3841,6273
1948,4084,1583,2864,4577,3541,2428,2452,1949,2035,997,3255,3259,3654,3923,6402
1949,4239,1886,2961,4580,3666,2542,2760,2227,2171,1041,3486,3289,3748,4045,6297
1950,4389,2123,3114,4822,3893,2610,2941,2508,2323,1126,3554,3436,3913,4171,6697
1951,4446,2268,3277,4984,3835,2805,3099,2740,2482,1245,3576,3561,4036,4303,7259
1952,4375,2272,3232,5183,3880,2868,3158,2962,2579,1368,3607,3653,4062,4279,7412
1953,4415,2369,3318,5282,4071,2855,3227,3177,2757,1450,3878,3783,4149,4464,7586
1954,4598,2609,3438,5095,4177,3069,3360,3386,2840,1510,4094,3932,4298,4617,7352
1955,4743,2894,3581,5427,4130,3189,3522,3758,3009,1620,4343,3968,4393,4756,7623
1956,4790,3091,3662,5722,4188,3249,3666,3979,3133,1724,4446,4136,4527,4810,7637
1957,4776,3274,3703,5693,4348,3369,3845,4152,3281,1835,4514,4217,4697,4883,7622
1958,4902,3383,3673,5645,4444,3359,3900,4249,3420,1924,4435,4142,4690,4870,7448
1959,5094,3466,3768,5739,4714,3531,3971,4515,3620,2080,4586,4317,4807,5036,7753
1960,5193,3733,3949,5789,4957,3823,4210,4867,3827,2332,4913,4528,5045,5301,7773
1961,5195,3917,4133,5849,5240,4087,4397,5026,4120,2648,4862,4772,5305,5436,7852
1962,5306,3981,4332,6148,5492,4180,4607,5202,4352,2809,5121,4874,5574,5449,8143
1963,5562,4118,4488,6347,5485,4286,4769,5294,4552,3073,5236,5019,5822,5644,8369
1964,5840,4340,4757,6647,5947,4486,5027,5592,4635,3442,5595,5233,6318,5415,8739
1965,5988,4440,4884,6960,6168,4707,5219,5833,4751,3579,5808,5466,6604,6001,9142
1966,6112,4666,5006,7297,6286,4801,5447,5950,4998,3917,5889,5628,6732,6083,9497
1967,6315,4787,5174,7376,6444,4880,5659,5930,5314,4263,6130,5472,6866,6228,9606
1968,6614,4975,5373,7646,6662,4970,5856,6237,5622,4761,6458,6010,7165,6458,9908
1969,6956,5263,5717,7946,7048,5448,6215,6638,5930,5275,6794,6227,7298,6511,10095
1970,7202,5614,6064,8039,7135,5878,6512,6913,6199,5710,7094,6310,7697,6641,9978
1971,7349,5876,6263,8396,7275,5994,6800,7038,6261,5877,7303,6555,7932,6797,10197
1972,7565,6210,6567,8770,7616,6412,7139,7290,6413,6281,7469,6840,7895,6928,10627
1973,7766,6487,6935,9328,7845,6805,7462,7595,6812,6619,7754,7072,8288,7441,11056
1974,7815,6739,7198,9617,7728,6975,7649,7607,7024,6452,8001,7385,8529,7381,10799
1975,7891,6670,7076,9724,7661,7025,7619,7512,6732,6536,7930,7654,8714,7335,10587
1976,8025,6984,7454,10187,8142,7015,7995,7960,7089,6776,8263,8135,8774,7612,11000
1977,8073,7289,7482,10438,8241,7008,8202,8209,7194,7066,8405,8405,8603,7697,11378
1978,8214,7336,7679,10818,8346,7145,8440,8457,7361,7359,8557,8744,8722,7974,11838
1979,8395,7693,7834,11140,8609,7654,8676,8790,7700,7677,8704,9164,9046,8137,11946
1980,8483,7924,8164,11182,8571,8032,8773,8892,7982,7955,8710,9503,9174,7956,11804
1981,8567,7901,8053,11414,8494,8128,8827,8891,8061,8201,8583,9563,9136,7807,12115
1982,8468,7978,8168,10917,8751,8388,9002,8837,8061,8377,8426,9572,9198,7894,11695
1983,8530,8173,8178,11147,8989,8568,9023,9002,8071,8582,8515,9966,9421,8164,12049
1984,8869,8285,8352,11741,9300,8810,9111,9286,8332,8956,8747,10514,9782,8315,12774
1985,9179,8507,8470,12125,9691,9079,9227,9552,8542,9302,8913,11054,9980,8605,13048
1986,9339,8649,8618,12402,10000,9262,9384,9786,8762,9471,9074,11481,10071,8832,13306
1987,9501,8772,8718,12847,9906,9543,9484,9913,8983,9820,9169,11625,10286,9139,13563
