2002	BE1	BE2	BE3	DE1	DE2	DE3	DE5	DE6	DE7	DE9	DEA	DEB	DEC	GR1	GR2	GR3	GR4	ES1	ES2	ES3	ES4	ES5	ES6	ES7	FR1	FR2	FR3	FR4	FR5	FR6	FR7	FR8	IT1	IT2	IT3	IT4	IT5	IT6	IT7	IT8	IT9	ITA	ITB	NL1	NL2	NL3	NL4	AT1	AT2	AT3	PT1	UKC  	UKD  	UKE  	UKF  	UKG  	UKH  	UKI  	UKJ  	UKK  	UKL  	UKM  	IE	LU	FI	SE	DK	NO
1975	27.22727273	38.90661368	30.54096386	35.23936348	35.56915205	30.60462428	33.26037736	39.97665953	39.36461538	30.89313836	36.09932946	32.1212766	31.56911765	9.747332317	8.102443609	14.94186342	8.802445908	30.01816466	36.26573427	42.81892697	28.99392439	32.22441767	30.59163742	27.77149452	45.94020319	36.19566787	38.5987715	41.20136986	36.29778393	35.17900641	37.09838057	36.63429319	39.22719279	43.24115127	36.691829	34.00572348	37.25538278	48.84275266	33.35275835	35.84504268	31.43553609	34.94538391	32.52019499	51.64179104	47.2469419	49.8630384	44.02656042	38.36243243	31.18847458	36.34088247	14.3442623	15.66504065	17.11759216	16.1840138	16.4721823	16.81727106	18.82729144	20.92364494	21.16044313	15.97913098	17.13133098	17.29861467	20.74109015	26.56085526	27.65172414	63.62300867	35.07794118	37.04149378
1976	27.22727273	38.90661368	30.54096386	35.23936348	35.56915205	30.60462428	33.26037736	39.97665953	39.36461538	30.89313836	36.09932946	32.1212766	31.56911765	9.747332317	8.102443609	14.94186342	8.802445908	30.01816466	36.26573427	42.81892697	28.99392439	32.22441767	30.59163742	27.77149452	45.94020319	36.19566787	38.5987715	41.20136986	36.29778393	35.17900641	37.09838057	36.63429319	39.22719279	43.24115127	36.691829	34.00572348	37.25538278	48.84275266	33.35275835	35.84504268	31.43553609	34.94538391	32.52019499	51.64179104	47.2469419	49.8630384	44.02656042	38.36243243	31.18847458	36.34088247	14.3442623	15.66504065	17.11759216	16.1840138	16.4721823	16.81727106	18.82729144	20.92364494	21.16044313	15.97913098	17.13133098	17.29861467	20.74109015	26.56085526	27.65172414	63.62300867	35.07794118	37.04149378
1977	28.55937904	40.57443253	31.68635927	36.85524126	37.33949458	32.02	34.98924051	42.52683983	41.00210773	32.42863535	37.53954927	33.95473934	32.50072464	9.997830803	8.452521581	14.75807217	9.022421525	30.8161215	37.32079391	43.39220639	29.77081945	33.3814212	31.49021674	29.04102564	45.66774194	36.71092657	38.62142857	41.08403042	36.62673797	36.10466563	37.38913613	37.07690355	42.22044589	45.10941866	38.83346436	35.92843361	39.35023378	49.59018228	34.76716418	36.64597315	32.03661243	36.05774805	33.78818737	55.37509789	49.94166984	52.11258068	45.8089404	40.09488471	32.52460106	36.8799547	15.67501449	15.8280409	17.41167622	16.62933754	16.59025493	16.85013318	19.52391441	21.47973506	21.66093691	16.63513301	16.76209794	17.57442429	21.69499657	26.92209857	27.38777248	63.38989561	36.92458034	36.43960023
1978	28.43255094	39.89364005	31.60350545	37.89375	39.62181041	33.1433526	36.21202532	44.34490239	42.98913295	33.65742794	38.69341474	35.44524362	32.84071429	10.30066737	8.85739991	14.65051195	9.2971078	31.88143489	38.72020249	44.31551178	30.80520627	34.85329436	32.67209685	30.59682899	46.31473193	37.55710638	38.38101852	41.07689464	37.99674902	37.49256449	38.78423077	38.24579208	44.43462185	46.92481538	42.24502762	37.36896125	40.39347604	49.97403595	34.58272859	34.93948679	30.75068446	35.37914692	34.49306015	55.63149728	51.17938066	52.97474324	48.14037389	40.91512627	33.43929504	37.97565407	15.13318025	15.71858501	17.38356164	16.62790366	16.86923858	16.575	19.79800307	21.60621296	21.99471831	17.0347614	16.47443182	17.8353167	24.4147651	27.56965944	28.28993666	61.49321789	37.09988081	36.16042559
1979	28.64666495	39.56585366	31.90238764	38.8162772	41.07729805	33.48017241	37.02993631	45.55369565	44.97918552	34.69593853	39.56616702	36.84334862	33.83971631	10.71170249	9.368210151	14.68076755	9.676092545	32.77777778	39.9140261	44.98275562	31.68492541	36.16568189	33.68913011	32.04288165	47.22984389	37.26976744	38.87107062	41.83411552	38.73900889	37.0781575	38.60749064	38.83825666	46.33966667	49.24619023	43.90885803	40.05220315	42.52051022	51.53294692	34.24450549	34.74972025	30.83586069	34.79750205	35.76256614	56.38390805	52.90223881	54.3574239	49.66267012	39.95826933	32.87674714	37.49788285	15.70011403	16.34810295	17.46497696	17.15198083	17.83148295	17.13773275	20.9053973	21.13772362	23.64220018	17.77836134	16.85806452	18.42246935	25.31125612	28.66566717	29.68219876	61.67186619	37.56235154	36.41550802
1980	29.24284985	40.07099081	32.4620864	40.29183188	42.72773224	34.4091954	39.20128205	48.38624454	46.83675497	35.97740541	41.02758621	38.40565611	36.44042553	11.05104408	9.830321728	14.59489967	9.976569038	32.92285782	40.20042194	44.61141584	31.83545434	36.67211932	33.94499018	32.77408257	47.42255571	38.01430894	39.45146067	42.57707231	39.72978723	38.33391813	39.60989011	40.18556086	48.23089646	50.53017353	45.92276208	42.04095623	44.49178689	52.67552154	35.11989631	36.81260126	33.0605319	36.62534381	39.41486486	58.70823885	54.66728009	55.51776961	51.70341962	40.60673875	34.46379526	38.33127572	15.28100559	16.3452256	17.42399571	17.44723339	17.69317963	17.31953376	20.7346529	21.76903088	23.65317769	17.87476391	16.7409141	18.26211211	25.48986592	30.48976608	30.41862069	63.10416667	39.44698225	35.7609724
1981	31.26791444	43.30706912	35.32491663	39.4903512	41.44614195	34.42515652	40.98513932	45.787555	44.6364579	36.07063583	38.99661826	38.54170231	34.91525424	10.98935827	9.823940585	14.36338085	9.759836066	32.92358804	40.32419128	44.05229635	31.85870049	37.03032728	34.04936785	33.39679817	48.62745717	38.62140575	41.28733333	43.4146087	41.09578686	39.88371758	40.65463297	41.10117233	44.45338483	48.56899503	47.79233388	44.43810659	43.59753287	50.64734368	39.98755445	35.75983365	37.12420584	35.42651515	36.34607907	56.1070922	53.82886023	53.22287988	50.75442883	42.13110285	35.29169231	39.44455611	15.73532609	15.69511229	16.68630742	16.67031187	16.43160593	16.29596064	20.21548405	21.06651527	23.47105505	16.86432372	16.26516182	17.50834247	26.05681475	32.643377	30.74666883	63.21712237	38.61752701	35.40320102
1982	31.98686327	43.21455491	35.09775148	42.56882012	44.09399547	35.28933718	44.42527979	48.11330584	47.80882514	37.68022201	41.17687947	41.6309631	37.76240391	11.29812711	10.27384485	12.84462904	9.849175177	32.98675183	41.29878485	45.17951318	31.84203598	36.58349537	34.98533456	33.98692439	49.7959375	38.54881517	42.17920354	43.30243902	42.02756489	40.13190272	41.0977354	42.06913295	44.86362188	47.76151341	46.57504478	44.62541473	43.70465703	49.58779782	39.03823178	34.79117005	37.48824477	34.96540053	35.16442543	52.56632997	51.05245573	51.45643463	48.83928045	42.31234689	35.72259237	39.30696615	15.81751592	16.78976641	17.43315361	16.94842802	16.99612188	16.59356297	20.85535025	21.91087316	24.36069693	16.84417212	16.44885411	18.28594588	26.71708767	32.63120567	31.72863911	62.30359019	38.76350365	34.49899749
1983	34.38624626	46.27122825	38.26125268	42.50789393	44.97354075	36.37839416	45.0564137	49.26539654	49.29889581	37.96012368	41.85213568	42.52308039	38.28721174	11.13904705	10.45236088	12.55595996	9.793209877	33.36062515	41.30014058	43.62838159	31.74687095	38.46117515	35.15729998	35.89322618	50.23733333	40.12936378	44.47777778	44.15796848	40.7472895	40.12022161	40.92275379	43.77936508	44.33603066	46.84820891	45.14948571	43.42797562	42.73328229	47.09189534	36.03577236	34.78644441	35.21165419	34.08199964	34.63763881	52.97291808	51.18696228	51.45230999	49.01264334	43.77398928	36.66706659	41.01674718	16.39039488	17.41865757	17.96338652	17.69114381	17.74681676	16.9069244	21.07888414	22.4511207	24.75715712	17.96986764	17.38247803	18.84331226	26.26962358	32.64106145	33.39153266	62.05183031	39.35377129	34.35620347
1984	33.30068587	45.19022086	38.20685523	44.1070934	46.77995888	38.45014749	44.36290323	51.36176865	51.3522054	39.64104518	43.1673617	43.63220453	39.84483986	11.28801912	10.75845824	12.88974543	10.21611154	33.74465586	42.41652735	42.64508095	32.65224951	40.06983511	35.86539322	36.40728291	50.95682526	39.97770545	44.98017817	44.2770979	40.72474344	40.32960437	41.46505747	43.55691789	43.68131168	47.08735496	44.22116026	43.28025271	42.53905746	46.28997128	35.70518994	34.07498122	34.5680791	34.35088031	36.04228708	53.32310838	51.3667979	51.79673964	50.05544148	44.61182457	36.38994083	41.1384127	16.28711395	17.65238928	18.50949162	18.19796256	18.41784125	17.91051514	22.17514124	22.79582611	26.07356547	19.03661295	17.55196434	19.5411794	26.17398844	32.38598901	33.62765787	62.22447786	40.30847458	35.17093596
1985	33.4220815	44.49780178	37.21262299	45.38223031	48.27072219	39.32723577	45.79522184	53.32408236	53.62167445	41.07980104	43.63331505	44.22543353	41.23109843	11.31514085	11.23274754	12.66979983	11.13016845	35.90616556	44.52368229	45.73493401	34.86071916	42.04678122	37.64126594	39.27826596	51.88969347	41.1540957	45.34022222	45.66695804	41.95366404	41.99271255	42.14483541	44.56174497	42.73784948	46.41782946	45.29189366	42.50901181	41.59746897	48.61876127	36.93740219	33.85030975	35.71924465	34.51023862	36.74407857	54.61631016	51.30906809	53.8017419	50.72771016	45.45892216	36.52199413	41.12198937	15.67965554	18.35780886	18.97537743	18.69743252	19.50712353	18.62651067	22.4396416	23.10228381	26.1241449	19.23712461	17.80863698	20.21310464	26.63313953	32.59109312	33.76475167	63.72221315	41.37517815	35.56414634
