 	BE	DK	DE	GR	ES	FR	IE	IT	LU	NL	AT	PT	FI	SE	UK	NO
1975	21.58030942	23.1725256	26.87889588	18.04127929	21.44074529	24.06102635	14.42870633	29.59646774	38.46285714	12.27213306	27.24038122	7.582086451	15.6597961	20.99078373	20.53397531	23.23801787
1976	21.77019231	23.5681592	26.74602847	17.83792262	20.37191507	24.27240296	14.02960222	29.76328547	38.8547486	12.66204092	28.05689655	8.170380875	14.8264095	20.92791432	20.84916508	22.40135712
1977	21.76184032	23.69856688	26.82490308	18.03367789	20.11691064	24.46706114	14.26923077	29.55028857	39.08695652	12.91152027	28.18060933	7.782608696	13.9451074	20.31467247	20.97733938	22.89054483
1978	21.86362451	23.92183206	26.95363191	18.02964616	20.44886217	24.84371924	14.62549451	30.09132051	39.02673797	13.05735582	28.56983056	8.3018	13.3185725	20.38489015	21.06050121	23.33419811
1979	21.52144638	23.98782609	27.05843818	18.14255124	20.15842267	25.28977609	15.29752413	30.512872	38.7434555	13.10267273	28.67895669	8.235195531	13.76718323	20.87112714	20.89341678	22.35633484
1980	22.0409204	24.13083333	26.7304998	17.96751536	19.42614632	25.39329574	16.62332385	30.48686715	37.71153846	12.64902425	28.99873398	8.609156194	14.09223387	20.91704155	21.26898601	21.23123644
1981	21.87879162	23.34287548	28.3628313	17.50137438	19.44637104	25.46892086	17.09860279	30.35981979	37.65566038	12.30805472	29.1336341	8.719757366	13.82540477	20.62207511	21.47358023	20.73367983
1982	22.74760736	24.59663212	28.49861606	17.34763039	19.8461188	25.72937513	16.85546416	30.22861241	38.00462963	12.83265352	29.36233225	8.726677852	13.83889672	20.54646406	21.55494009	20.97581967
1983	22.75563817	24.5283697	28.61161207	17.53912139	20.05585535	25.6102141	16.6503876	30.43218827	39.543379	12.81002489	29.72089826	9.003305785	14.37857143	20.60970274	21.73107906	21.2993988
1984	21.89680197	24.69249677	28.69646724	17.5373397	20.07771182	25.6699187	16.64710425	30.60174764	39.70982143	12.68400803	29.84090566	9.018892508	14.89678511	21.10875247	21.44670003	21.50494071
1985	21.93895631	25.08123393	27.01119018	17.43241279	18.61418667	25.36808032	17.21882353	30.68741646	38.67826087	12.4780366	29.79652458	9.344918033	15.70522273	21.25030001	21.10433059	21.9457529
1986	20.74412811	25.28012739	26.82915402	17.26740618	18.81944301	25.22762746	17.35037879	30.91015065	39.03404255	12.1456728	29.85359801	9.563577236	18.15292154	21.39078295	21.12626846	24.21726755
1987	22.23504274	25.22073325	26.76340968	17.92869229	18.75420515	25.37328943	17.08602941	30.75333706	38.37759336	11.89316499	30.12739312	9.79888535	20.25471356	21.72506705	20.73578522	24.84990826
1988	22.03103865	25.49205549	26.85674543	16.59291841	18.97802045	25.87867006	16.60543478	30.50551514	37.688	11.56701031	30.31669267	9.877899687	20.48040109	21.75649628	20.31165922	24.91541219
1989	22.39345455	25.04770756	26.7766846	17.33068328	20.4597646	26.01857221	17.55698113	30.28914132	37.85490196	11.58651663	30.09749965	9.984	20.99852371	22.05842615	20.49745453	24.7687389
1990	22.62287105	24.92444444	26.92509149	17.08183548	20.55498552	26.39487041	18.11563636	30.25412482	37.60305344	11.47949853	30.37216339	9.512855007	23.51097406	23.64655895	20.37851094	24.52137931
1991	23.72636816	24.41567164	26.71729678	16.24849865	21.0423756	26.76952146	19.83802817	29.82669472	37.73161765	11.73737036	30.27683237	10.1113046	25.38302835	24.62143284	21.03433754	25.00485762
1992	24.27393281	24.76811955	27.11680451	17.04244589	21.52685583	26.54696944	19.57073171	29.54700686	38.44043321	11.85550706	30.40759162	10.42869163	25.20476627	24.69969715	21.25922081	26.03105691
1993	25.22009508	24.59963504	27.45605969	16.1296409	21.38466984	26.55715363	19.37845118	29.69364076	39.40714286	13.3285051	30.06463878	10.76347477	25.37159455	25.21098627	21.55373715	25.59208861
1994	25.25139029	25.49025654	27.90150591	15.73379231	21.09164463	26.93744853	19.63053691	29.86920472	38.44561404	13.55053205	29.99790123	10.45362007	24.80733399	26.35462555	21.68235983	26.7453125
1995	25.96679487	25.92405532	28.26305819	16.7251879	21.02733107	27.70415402	19.60955414	29.87107272	39.86551724	13.63617291	31.60542636	10.73113543	24.26808674	27.11914373	22.01700819	27.06753846
1996	27.53627401	26.19941313	28.48216752	16.3339612	21.10341696	28.31654018	19.50030303	29.8144921	40.74747475	13.9997082	31.66679487	14.36331361	23.86926312	27.55392884	22.35012482	27.34594595
1997	28.08255413	25.88600237	28.57725999	15.88057473	20.55771625	28.8874146	20.45155709	29.92549528	42.39473684	14.18883977	27.97677665	15.28298453	23.49875356	28.30107858	22.6183616	27.32867647
1998	29.55836001	26.04611792	28.32193895	15.46819247	20.65746189	29.5813382	20.73400584	30.23348072	43.92063492	14.38539055	27.397875	17.76886326	24.1619524	28.80309788	23.01494606	27.46014493
1999	29.68381905	26.25452646	28.48068165	15.56575903	20.82338581	29.79552475	20.83878445	30.04911234	44.26875	14.4713691	27.49706946	17.83865737	23.76818411	29.18628159	23.56653632	27.57613995
