 	BE	DK	DE	GR	ES	FR	IE	IT	LU	NL	AT	PT	FI	SE	UK	NO
1975	18.22321429	20.22072937	25.49859399	8.405243732	15.96547595	25.01904126	19.564	20.13097929	23.4368932	31.36267071	20.4408692	7.594992799	24.72217473	32.61576302	21.85130663	31.80350877
1976	20.66262815	21.10536398	28.16575936	9.053129277	16.98550638	26.83597973	20.33471074	22.29063687	25.04	33.46348846	22.33483002	8.520169378	24.75331745	32.48454487	23.78876998	34.96993525
1977	21.79922405	21.53846154	28.78791946	9.323533076	18.61747917	28.20919579	18.71084337	23.04294435	25.51229508	33.2161595	22.75836666	8.445067265	25.77045134	31.49776928	24.55494279	35.44225753
1978	23.48634985	21.76595745	29.36661046	9.978787123	19.83684763	29.32800413	19.34901961	24.07263502	28.08695652	32.73992891	22.67702389	8.730981257	27.2758873	31.58073055	25.10402381	40.45012165
1979	25.34547347	23.12765957	30.36191747	10.59522321	20.71835391	30.53256303	19.39700375	25.90914735	29.8206278	33.20940764	24.74540236	9.15027027	28.30096238	32.30558194	25.70640105	48.00735294
1980	26.74946004	24.21696252	28.58180998	10.70353649	21.74195733	30.56934825	19.91143911	27.16919288	30.18390805	32.84171869	25.22101487	9.125792812	29.11066533	32.35696256	24.97569538	53.75425791
1981	28.23287671	24.44785276	29.60919205	10.51802633	23.21079137	31.56930965	19.99256506	27.71143651	28.92773893	32.49421771	25.03025157	9.156184486	29.35917049	31.88050314	26.32185963	55.13759214
1982	27.66276347	25.45696721	29.78977616	10.47683924	24.08383459	31.96609227	19.20522388	28.11387439	29.59619952	32.13873283	26.25219877	9.360934183	30.23665573	31.74676139	28.19324752	57.01012658
1983	30.05017921	27.07770961	31.3619765	10.70701933	25.05140008	33.06339623	21.87190083	29.48512119	31.5308642	35.05439673	28.05131129	9.408993576	31.25894884	31.82944606	31.59501734	64.69496021
1984	33.48671498	27.14230019	32.51317952	11.12055641	26.1076198	33.93369629	24.35064935	32.32706728	35.0872818	37.29609408	28.87943914	9.545758929	32.26438405	32.59028643	31.33857599	72.02393617
1985	34.52890529	27.1792976	31.79174776	11.63098482	25.46941896	35.07830963	30.08035714	33.81540393	37.125	39.31436845	30.10142923	9.986471251	32.26218306	32.79760058	33.99598979	72.70866142
1986	35.31077694	27.04991087	31.62968761	11.8902842	26.62443439	35.80591837	27.62173913	34.98539333	37.27272727	39.69170164	31.17232617	10.72485549	31.42351275	33.01403545	36.72107978	58.76363636
1987	36.44473008	26.88108108	31.10697885	12.62471655	27.03361345	36.67979058	29.38392857	36.56582989	37.64411028	40.75521952	32.18312346	11.29397875	32.68142681	33.53276934	38.24234283	58.32467532
1988	39.10313316	28.31549815	32.03672124	13.46540339	27.66606822	39.04472843	32.05726872	38.23145104	42.31958763	41.866124	33.83590963	11.88100962	34.50523655	33.58070688	40.08627297	56.52291105
1989	40.74421594	29.51769088	32.67179257	13.63777967	30.01394214	40.5580604	35.28691983	39.68070328	46.06770833	42.88289044	35.08508627	12.47218935	34.30853994	34.04531075	40.88021131	67.46264368
1990	41.76319176	29.49067164	33.92824036	13.50585249	29.87058424	41.13831815	37.30769231	40.83804182	46.171875	40.69965734	36.20484041	12.91025641	35.24908636	31.88073394	42.36678809	72.84955752
1991	41.89659686	31.46374046	30.48174636	14.38163058	31.28312413	42.42008332	39.06694561	40.97956132	47.3878628	41.11395033	37.65388674	12.50429799	37.60226284	30.95765472	45.33377094	75.64545455
1992	41.63641045	32.02895753	31.77425966	12.31974505	32.05688739	43.7152872	41.71129707	42.38044338	48.65229111	41.34269346	38.50780312	13.13780832	38.43675418	32.22829964	48.13478142	78.45538462
1993	44.55438596	33.51102204	31.33633634	14.07773076	32.28695555	44.30258198	43.44491525	42.988629	50.58333333	43.01228459	39.67128463	13.19038583	39.52344932	33.72797927	51.48530352	79.61818182
1994	48.52343059	34.28486056	32.87102994	14.42674657	33.73671424	45.98303066	45.34	45.83849241	51.898017	44.56140351	41.66408269	13.19146249	37.95562977	34.38713911	54.33714462	81.77514793
1995	51.53648587	34.35034803	34.06206854	13.81199811	35.04045764	46.28004001	50.25287356	48.89584244	53.38150289	47.10931246	47.07080925	13.82842174	37.96023392	35.38778055	54.07650535	84.71098266
1996	53.61251726	35.4768288	35.3004168	13.98990695	34.88464687	44.68279228	52.71969697	48.69416759	55.54572271	49.39460248	49.05365127	15.36014081	37.37999527	36.0197775	54.04489999	87.99150142
1997	55.47325103	36.2022218	37.5680069	14.47577378	35.264821	45.02141983	56.06806662	48.77626585	58.16816817	50.40508842	51.73413897	16.38812155	37.24448447	36.52512563	55.24814029	88.04432133
1998	57.39761614	36.89254961	39.88035236	14.75399462	34.98837527	45.72348894	57.25720027	49.81971126	60.6006006	52.73688969	54.15662651	14.96737554	39.67209458	37.32184615	55.78008085	89.1184573
1999	59.86679058	37.72658894	40.67444416	15.00232019	35.72021975	47.00410744	59.47149263	51.55629061	60.96774194	53.69297219	56.036077	15.42616034	40.13466551	38.12278775	58.62645853	94.30516166
