CODE	LANGUAGE	INTERREG	LAND_PRE	P_SEMNAT	P_NATFOR	P_WETLAN	AG_INTEN	LAND_AB	EMISSION	DISSECT	ENERGY	FARM20HA	LOCATION	SET_STR	REG_CLU
at11	700	59	4	2	3	4	5	1	2	3	9	.31	4	5	1
at12	700	21	4	2	4	1	5	1	2	4	9	.31	4	5	1
at13	700	75	5	1	5	5	5	9	2	5	9	.31	4	1	2
at21	700	81	4	3	4	2	5	1	2	3	9	.45	4	6	1
at22	700	68	4	3	5	1	5	1	2	4	9	.45	4	5	1
at31	700	47	4	3	3	2	5	1	2	5	9	.33	4	4	1
at32	700	52	4	4	4	2	5	1	2	3	9	.33	5	5	3
at33	700	65	4	4	4	1	5	1	2	3	9	.33	5	6	3
at34	700	38	5	4	5	2	5	1	2	4	9	.33	5	4	3
be21	300	38	5	5	4	4	3	9	3	5	5	.51	5	1	2
be22	300	88	5	5	4	4	3	9	3	5	5	.43	5	3	2
be23	300	21	5	5	1	3	3	9	3	5	5	.54	5	3	2
be24	300	0	5	5	4	2	4	1	3	5	9	.46	5	1	2
be25	300	35	5	5	1	2	1	9	3	5	5	.46	5	3	2
be31	600	0	5	4	3	9	4	1	3	5	9	.10	5	1	2
be32	600	140	5	4	3	2	5	9	3	5	2	.14	5	3	2
be33	607	50	5	4	4	3	5	9	3	5	2	.21	5	3	2
be34	600	135	5	4	5	1	5	9	2	5	2	.15	5	6	2
be35	600	106	5	4	4	1	5	9	3	5	2	.09	5	4	2
de11	700	0	4	2	4	9	4	1	3	1	5	.34	5	1	2
de12	700	21	5	3	5	2	4	1	3	1	4	.30	5	1	2
de13	700	45	4	3	5	2	4	1	2	1	4	.44	5	3	2
de14	700	55	4	3	4	4	4	1	2	1	4	.33	5	3	2
de21	700	37	4	3	4	3	4	1	3	2	5	.35	5	2	2
de22	700	118	4	3	3	2	4	1	2	3	5	.38	4	4	1
de23	700	98	4	3	4	1	4	1	2	2	5	.37	4	4	1
de24	700	98	4	3	4	1	4	1	2	2	4	.38	4	3	1
de25	700	0	5	3	4	9	4	1	3	3	4	.41	5	2	2
de26	700	0	4	2	4	2	4	1	2	3	5	.35	5	3	1
de27	700	44	4	4	3	2	4	1	2	2	5	.40	5	3	2
de3	700	0	4	2	2	1	4	9	3	3	9	.20	4	1	2
de5	700	0	5	3	5	2	4	9	2	2	9	.20	5	1	4
de6	700	0	5	4	3	5	4	9	2	3	9	.20	5	1	2
de71	700	0	5	3	5	3	4	1	3	3	5	.26	5	1	2
de72	700	0	5	3	5	1	4	1	2	3	4	.31	5	3	2
de73	700	0	5	3	5	1	4	1	3	3	4	.29	5	3	2
de91	700	0	4	2	4	1	4	1	3	3	4	.10	5	3	2
de92	700	0	4	2	3	2	4	1	2	3	4	.11	5	2	6
de93	700	0	4	3	3	2	4	1	2	2	4	.09	5	3	1
de94	700	194	4	3	2	3	4	1	2	2	5	.15	5	3	1
dea1	700	36	5	2	4	2	4	1	3	4	5	.17	5	1	2
dea2	700	45	5	3	3	2	4	1	3	3	4	.17	5	1	2
dea3	700	53	4	2	2	1	4	1	3	3	5	.22	5	3	2
dea4	700	0	4	1	1	9	4	1	2	3	5	.27	5	1	2
dea5	700	0	5	3	5	2	4	1	3	3	5	.23	5	1	2
deb1	700	0	5	2	4	2	4	1	2	3	4	.29	5	3	1
deb2	700	123	9	9	9	1	4	1	2	3	4	.28	5	4	1
deb3	700	31	4	2	2	9	4	1	3	3	4	.30	5	3	2
dec	700	78	4	2	1	2	4	9	3	4	4	.11	5	3	2
dk	200	26	4	2	2	3	4	1	2	4	3	.11	5	3	7
es11	1115	317	4	4	3	1	4	4	2	2	4	.82	2	5	8
es12	1100	0	3	4	2	1	4	4	3	2	1	.58	2	4	9
es13	1100	0	3	4	3	2	4	2	2	2	1	.43	2	5	9
es21	1113	145	4	3	4	1	4	4	3	3	1	.47	2	2	9
es22	1113	145	4	3	3	1	4	9	2	2	1	.17	2	5	9
es23	1113	0	4	3	2	2	4	2	2	2	3	.25	2	6	9
es24	1100	145	3	3	2	1	9	4	2	1	1	.10	3	5	9
es3	1100	0	5	4	2	1	4	9	3	2	1	.17	3	1	9
es41	1100	317	3	3	2	1	9	4	2	2	1	.09	2	5	9
es42	1100	0	3	3	2	1	1	2	2	1	1	.13	3	5	9
