Year	Ybeijing	Ytianjin	Yhebei	Yshanxi	Ymongo	Yliaoning	YJilin	YHLJ	Yshanghai	Yjiangsu	YZJ	YAH	YFJ	YJX	YSD	YHenan	YHubei	Yhunan	Yguangdong	YGangxi	YSichuan	YGuiz	Yyuannan	Yshanxi	YGansu	YQinghai	YNXia	Yxinjiang
1952	6.593872465	6.67971582	5.951078236	5.957084893	6.272424377	6.258227122	6.270800984	6.8968478	7.011427321	6.178100379	6.042840339	6.196038297	6.052872242	6.153420184	5.791816079	5.960637244	5.999096945	6.035081452	6.252689495	5.781764839	5.754822981	5.576444739	5.743470698	5.541783519	5.794713036	6.00809544	5.704356894	6.485605005
1953	7.351261214	6.916832289	5.925603026	6.089138863	6.366424032	6.472822619	6.289934624	6.958107674	7.265354809	6.224177434	6.111340537	6.174807331	6.137734876	6.143058724	5.792702567	6.01601743	6.11004609	6.092025456	6.367046861	5.849264559	5.864675038	5.774331129	5.911420262	5.698288612	5.811167819	6.007473296	5.670519282	6.516300586
1954	7.325812549	6.834646073	5.961916189	6.158334828	6.488555485	6.508260596	6.324551961	7.02717684	7.222528423	6.205718543	6.121896833	6.178625374	6.153530276	6.140459975	5.898067833	6.038557535	5.913913348	6.050457768	6.425080771	5.956625451	5.958353567	5.812690595	6.030901704	5.801111386	5.943356629	6.245971196	5.866580406	6.616268991
1955	7.417258523	6.840685295	6.027085533	6.16784156	6.339836646	6.541942683	6.330241262	7.020730128	7.284158892	6.287615879	6.178510761	6.405193234	6.2262443	6.180776339	5.964960317	6.082496249	6.137612583	6.207505226	6.422731261	6.027441112	5.996433688	5.872417227	6.093977362	5.78913848	5.985905132	6.426988364	5.872972057	6.686042807
1956	7.392627808	7.012318773	6.048485178	6.329974432	6.604890883	6.754463563	6.459336256	7.03880829	7.478024499	6.282384316	6.227641978	6.245975158	6.423354563	6.140823759	6.060777495	6.078150458	6.380942913	6.250183924	6.478764495	6.102113047	6.083760782	6.020863708	6.236358728	6.002747888	5.972977097	6.591413226	6.018732152	6.789946352
1957	7.573312524	7.094585421	6.090080454	6.382105242	6.665789977	6.798608299	6.451186398	7.08150984	7.47134747	6.263648086	6.295045946	6.421158623	6.451677236	6.345582154	6.003134186	6.143805866	6.419434233	6.363865188	6.542632606	6.193055826	6.177696303	6.065788162	6.202928954	5.934470235	5.903270823	6.539349417	5.933843457	6.739096272
1958	7.182863734	7.322011759	6.272178691	6.678426608	6.839289775	7.140504014	6.674446923	7.396356755	7.664082123	6.233804631	6.433936248	6.458709841	6.512834255	6.405214678	6.165484963	6.214415341	6.601311964	6.525419597	6.61787838	6.314815897	6.287870926	6.230171522	6.259795092	6.170050538	6.040696729	6.639355623	6.196251337	6.959349051
1959	7.430475658	7.504497622	6.410072226	6.793112652	6.970296582	7.32771965	6.817748869	7.476149089	7.659893236	6.228315467	6.491221332	6.396687284	6.64814986	6.431081678	6.212822014	6.181840899	6.551731658	6.604538503	6.623470062	6.389583386	6.2150598	6.259273731	6.348851448	6.213181317	6.053914479	6.847541714	6.433662005	6.997944346
1960	7.57535174	7.509185248	6.396096479	6.799092296	6.813690889	7.410454016	6.844591013	7.477659762	7.888532584	6.273991981	6.45849624	6.45683966	6.646070056	6.454203345	6.120026788	6.182187871	6.558362187	6.628253832	6.585094926	6.390563569	6.112180594	6.28019039	6.324225641	6.219457874	5.814155559	6.982437637	6.468244858	7.09779232
1961	7.06975376	7.064459426	5.929836033	6.370330752	6.411303157	6.579910215	6.458388523	6.82939987	7.42553978	6.160409631	6.205085318	6.138206947	6.297493235	6.311936785	5.85811378	5.664430093	6.191966766	6.207097606	6.331032003	6.242249459	5.876734552	5.823417079	6.161421841	5.800722173	5.372636181	6.695475684	6.207084795	6.963584642
