Year	Ybeijing	Ytianjin	Yhebei	Yshanxi	Ymongo	Yliaoning	YJilin	YHLJ	Yshanghai	Yjiangsu	YZJ	YAH	YFJ	YJX	YSD	YHenan	YHubei	Yhunan	Yguangdong	YGangxi	YSichuan	YGuiz	Yyuannan	Yshanxi	YGansu	YQinghai	YNXia	Yxinjiang
1978	8.108640856	8.003319188	6.979349783	6.98411254	6.847123928	7.589230165	7.019346462	7.599982422	8.543631401	7.045779275	6.94726972	6.629724177	6.893182564	6.599180543	6.937490555	6.599809522	6.873996521	6.938349299	7.011611843	6.86561225	6.688323697	6.288051724	6.669761519	6.653235065	6.583462935	7.302885828	7.020943618	7.026098756
1979	8.176920755	8.078122839	7.030056676	7.067912407	6.92483163	7.623023964	7.05754411	7.617125016	8.58465707	7.149045626	7.063031258	6.705208778	6.932514579	6.731526578	6.991398239	6.666115112	7.006392198	7.014443756	7.07175527	6.884079862	6.826513956	6.375796995	6.686156213	6.715890357	6.584613276	7.188479143	7.060755872	7.123620588
1980	8.271266466	8.159991957	7.049290028	7.075829427	6.928813033	7.698045771	7.108642447	7.701419	8.652693352	7.188322041	7.203986294	6.710360415	7.089466593	6.760051028	7.097700416	6.796083921	7.057336196	7.054112387	7.203359954	6.963612808	6.90339862	6.402153118	6.755687862	6.777835112	6.659116002	7.338945895	7.109688629	7.171877633
1981	8.239247863	8.192296093	7.042355845	7.070835125	7.015273198	7.668244858	7.155926896	7.727695133	8.693047516	7.279728378	7.301150736	6.861385149	7.218156854	6.804195343	7.140602906	6.85593432	7.108448535	7.092785856	7.265852548	7.019596993	6.860340484	6.447283047	6.815160244	6.809913653	6.55945676	7.311671549	7.105712064	7.237989408
1982	8.286339359	8.214852673	7.135050073	7.201069988	7.165572717	7.70389224	7.218209084	7.778786984	8.747492319	7.360159605	7.395767506	6.939192013	7.288829926	6.879892255	7.234363374	6.881676858	7.209973086	7.16559534	7.355810628	7.117919362	6.919680499	6.577140831	6.940815552	6.883487613	6.627351509	7.394823921	7.165197285	7.321552216
1983	8.4163937	8.281766952	7.23202609	7.320939845	7.244747887	7.818513244	7.409340657	7.862172446	8.81122895	7.468637067	7.488396005	7.015590308	7.335329416	6.934984707	7.355216608	7.085643848	7.259209538	7.243149572	7.406211504	7.137173471	7.034010987	6.68680953	7.006958534	6.944691512	6.759682798	7.493763869	7.293279648	7.434468213
1984	8.565735544	8.444322627	7.35427114	7.505664905	7.382422092	7.966667163	7.520536054	7.962199891	8.912000226	7.608616694	7.651686074	7.189491906	7.486077143	7.06734441	7.506028624	7.171770215	7.44061499	7.323615955	7.529337393	7.184530534	7.176175705	6.85683375	7.13012969	7.096639015	6.84735021	7.598634712	7.4009412	7.557278275
1985	8.634889923	8.533829439	7.460998332	7.564247779	7.529659474	8.083090379	7.580431797	8.015625295	9.027914353	7.761398292	7.83885134	7.323259767	7.634726151	7.194030025	7.606419855	7.288282111	7.579561492	7.426005504	7.698424978	7.262390082	7.311055227	6.920664895	7.238797779	7.237295613	6.986888026	7.688830204	7.545293951	7.700857476
1986	8.706360735	8.577863936	7.496601485	7.616433892	7.574660007	8.152031935	7.643390171	8.04397513	9.058201212	7.851205756	7.943195861	7.416758839	7.676906417	7.24481849	7.657043654	7.320173335	7.621398485	7.490949898	7.790545591	7.305752466	7.360217415	6.961766	7.262922246	7.307152083	7.076656342	7.732897094	7.603573984	7.792953747
1987	8.780877646	8.634082356	7.591709766	7.653733114	7.648663216	8.269465425	7.806589378	8.116768262	9.116677086	7.965474959	8.042284383	7.450313971	7.785968098	7.310404948	7.771888673	7.444634985	7.688308921	7.56473774	7.937711601	7.376179369	7.440424282	7.050128589	7.363527841	7.387782502	7.146582872	7.771841439	7.653996094	7.869761992
