"","MCL01_noInt","MCL05_noInt","MCL.1_noInt","HF01_noInt","HF05_noInt","HF.1_noInt","CW01_noInt","CW05_noInt","CW.1_noInt","MCL01_wInt","MCL05_wInt","MCL.1_wInt","HF01_wInt","HF05_wInt","HF.1_wInt","CW01_wInt","CW05_wInt","CW.1_wInt"
"2-10-nopois-.2-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-10-nopois-.2-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-10-nopois-.6-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-10-nopois-.6-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-10-pois-.2-50",0.7,0.92,0.86,0.58,0.36,0.24,0.79,0.82,0.82,0,0.47,0.67,0.31,0.3,0.17,NA,NA,NA
"2-10-pois-.2-100",0.97,0.91,0.88,0.72,0.58,0.43,0.72,0.73,0.73,0.94,0.81,0.76,0.51,0.37,0.27,0,0,0
"2-10-pois-.6-50",0.72,0.92,0.88,0.56,0.34,0.23,0.81,0.83,0.84,0,0.54,0.79,0.4,0.3,0.17,0,0,0
"2-10-pois-.6-100",0.96,0.89,0.86,0.73,0.58,0.43,0.73,0.73,0.74,0.97,0.87,0.81,0.49,0.38,0.27,0,0,0
"3-10-nopois-.2-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-10-nopois-.2-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-10-nopois-.6-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-10-nopois-.6-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-10-pois-.2-50",0.7,0.93,0.84,0.54,0.35,0.23,0.8,0.8,0.8,0.02,0.42,0.6,0.35,0.28,0.2,0.29,0.28,0.27
"3-10-pois-.2-100",0.97,0.91,0.88,0.69,0.43,0.29,0.73,0.73,0.74,0.91,0.79,0.71,0.52,0.4,0.28,0,0,0
"3-10-pois-.6-50",0.7,0.93,0.85,0.51,0.33,0.21,0.78,0.79,0.79,0.02,0.49,0.71,0.46,0.3,0.18,0,0,0
"3-10-pois-.6-100",0.96,0.88,0.86,0.69,0.43,0.29,0.72,0.72,0.73,0.97,0.86,0.8,0.52,0.44,0.34,0,0,0
"4-20-nopois-.2-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-20-nopois-.2-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-20-nopois-.6-50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-20-nopois-.6-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4-20-pois-.2-50",0.48,0.85,0.86,0.47,0.21,0.11,0.79,0.82,0.83,0,0.15,0.26,0.19,0.14,0.08,0,0,0
