"","MCL.01_PT","MCL.05_PT","MCL.1_PT","HF.01_PT","HF.05_PT","HF.1_PT","CW.01_PT","CW.05_PT","CW.1_PT","","MCL.01_Perf","MCL.05_Perf","MCL.1_Perf","HF.01_Perf","HF.05_Perf","HF.1_Perf","CW.01_Perf","CW.05_Perf","CW.1_Perf"
"3-10-0.2-50",2.14,2.52,2.18,1.67,1.91,2.02,2.49,2.51,2.72,NA,0.44,0.7,0.58,0.43,0.48,0.49,0.76,0.82,0.87
"3-10-0.2-100",2.89,2.59,2.36,1.96,2.16,2.34,2.26,2.28,2.49,NA,0.86,0.7,0.6,0.63,0.62,0.62,0.72,0.72,0.77
"3-10-0.6-50",2.28,2.78,2.69,2.04,2.17,2.4,2.51,2.58,2.64,NA,0.45,0.79,0.77,0.55,0.55,0.62,0.79,0.82,0.82
"3-10-0.6-100",3.04,2.65,2.38,2.02,2.42,2.52,2.29,2.33,2.29,NA,0.94,0.84,0.75,0.63,0.68,0.69,0.73,0.74,0.72
"3-20-0.2-50",1.24,0.91,0.46,1.6,2.18,2.43,2.87,3.08,3.53,NA,0.26,0.18,0.07,0.37,0.43,0.48,0.69,0.72,0.8
"3-20-0.2-100",0.97,0.07,0.3,2.39,2.46,2.71,2.09,2.39,2.98,NA,0.31,0.08,0.08,0.64,0.6,0.65,0.48,0.57,0.7
"3-20-0.6-50",2.01,1.23,0.73,1.82,1.98,2.35,3.14,3.46,3.51,NA,0.39,0.37,0.27,0.4,0.46,0.46,0.73,0.79,0.79
"3-20-0.6-100",2.62,0.66,0.93,2.64,2.83,2.91,2.13,2.57,3.21,NA,0.64,0.28,0.3,0.7,0.69,0.69,0.51,0.62,0.75
"5-10-0.2-50",2.34,2.64,2.39,1.68,2,1.95,2.68,2.73,2.69,NA,0.09,0.53,0.57,0.41,0.39,0.35,0.79,0.8,0.76
"5-10-0.2-100",2.99,2.82,2.63,2.1,2.18,2.31,2.62,2.68,2.69,NA,0.89,0.77,0.67,0.6,0.55,0.55,0.76,0.78,0.79
"5-10-0.6-50",2.39,2.82,2.84,2.15,2.25,2.21,2.75,2.76,2.73,NA,0.1,0.57,0.7,0.46,0.41,0.36,0.82,0.83,0.79
"5-10-0.6-100",3.13,2.8,2.71,2.21,2.4,2.4,2.62,2.63,2.69,NA,0.96,0.84,0.8,0.62,0.61,0.58,0.73,0.74,0.76
"5-20-0.2-50",3.2,3.43,3.33,2.74,2.88,2.94,3.84,3.86,3.82,NA,0.11,0.39,0.41,0.46,0.41,0.39,0.84,0.81,0.78
"5-20-0.2-100",4.14,3.79,3.5,2.92,2.99,3.04,3.4,3.56,3.75,NA,0.82,0.67,0.56,0.63,0.58,0.53,0.74,0.77,0.8
"5-20-0.6-50",3.45,3.85,3.74,2.34,2.56,2.55,3.91,3.89,3.72,NA,0.11,0.56,0.61,0.42,0.39,0.31,0.86,0.82,0.77
"5-20-0.6-100",4.41,4.03,3.85,3.05,3.39,3.17,3.48,3.37,3.62,NA,0.94,0.86,0.78,0.66,0.62,0.56,0.76,0.73,0.79
"7-20-0.2-50",3.14,3.71,3.68,2.78,2.8,2.74,3.98,3.79,3.79,NA,0.01,0.23,0.42,0.35,0.26,0.19,0.81,0.68,0.65
"7-20-0.2-100",4.39,4.09,3.84,3.03,2.9,3.09,4.03,4.01,4.11,NA,0.87,0.71,0.61,0.58,0.44,0.43,0.79,0.83,0.85
"7-20-0.6-50",3.23,3.93,3.94,2.13,2.67,2.68,4.06,3.9,3.83,NA,0.01,0.31,0.56,0.32,0.22,0.16,0.83,0.7,0.62
"7-20-0.6-100",4.44,4.27,4.03,3.22,3.08,3.29,3.91,3.85,3.94,NA,0.95,0.89,0.79,0.6,0.49,0.49,0.77,0.78,0.8
"10-20-0.2-50",2.82,3.58,3.79,2.42,2.48,2.37,3.28,3.25,3.24,NA,0,0.08,0.34,0.19,0.12,0.08,0.04,0.05,0.04
"10-20-0.2-100",4.37,4.2,3.85,3.09,3.06,3.01,3.83,3.7,3.64,NA,0.85,0.74,0.59,0.42,0.38,0.29,0.51,0.34,0.27
"10-20-0.6-50",2.87,3.67,3.89,2.24,2.18,2.28,3.36,3.33,3.36,NA,0,0.07,0.4,0.14,0.07,0.04,0.05,0.05,0.04
"10-20-0.6-100",4.43,4.37,4.2,3.08,3.09,3.02,3.77,3.62,3.61,NA,0.92,0.9,0.82,0.47,0.4,0.32,0.52,0.33,0.27
