"","MCL.01_H","MCL.05_H","MCL.1_H","HF.01_H","HF.05_H","HF.1_H","CW.01_H","CW.05_H","CW.1_H","MCL.01_F","MCL.05_F","MCL.1_F","HF.01_F","HF.05_F","HF.1_F","CW.01_F","CW.05_F","CW.1_F","MCL.01_KS","MCL.05_KS","MCL.1_KS","HF.01_KS","HF.05_KS","HF.1_KS","CW.01_KS","CW.05_KS","CW.1_KS"
"3-10-0.2-50",0.96,0.98,0.96,0.96,0.91,0.85,1,1,1,0.02,0.04,0.09,0.01,0,0,0.2,0.17,0.17,0.94,0.94,0.86,0.95,0.91,0.85,0.8,0.83,0.83
"3-10-0.2-100",0.99,0.99,0.98,0.96,0.94,0.92,1,1,1,0.02,0.06,0.1,0.02,0.01,0,0.28,0.28,0.26,0.97,0.94,0.88,0.94,0.93,0.92,0.72,0.72,0.74
"3-10-0.6-50",0.97,0.97,0.96,0.96,0.9,0.84,0.99,0.98,0.98,0.01,0.03,0.07,0.03,0.02,0.02,0.18,0.17,0.17,0.96,0.95,0.89,0.93,0.88,0.82,0.81,0.81,0.81
"3-10-0.6-100",0.97,0.96,0.98,0.97,0.94,0.92,1,1,1,0.02,0.09,0.12,0,0,0,0.27,0.26,0.29,0.95,0.87,0.85,0.97,0.94,0.92,0.73,0.74,0.71
"3-20-0.2-50",0.89,0.85,0.84,0.91,0.86,0.8,0.84,0.87,0.94,0.02,0.04,0.06,0.02,0.02,0.02,0.15,0.16,0.13,0.87,0.81,0.78,0.88,0.84,0.78,0.69,0.71,0.81
"3-20-0.2-100",0.91,0.82,0.76,0.94,0.89,0.86,0.9,0.87,0.92,0.02,0.04,0.09,0.01,0.01,0.01,0.32,0.27,0.24,0.88,0.78,0.68,0.93,0.88,0.85,0.58,0.6,0.68
"3-20-0.6-50",0.9,0.91,0.89,0.92,0.88,0.82,0.96,0.92,0.96,0.02,0.04,0.06,0.03,0.01,0.01,0.11,0.14,0.12,0.87,0.87,0.83,0.89,0.87,0.82,0.85,0.78,0.84
"3-20-0.6-100",0.94,0.92,0.9,0.96,0.88,0.89,0.95,0.95,1,0.02,0.04,0.06,0,0.01,0.01,0.27,0.26,0.22,0.92,0.88,0.85,0.95,0.87,0.89,0.68,0.69,0.78
"5-10-0.2-50",0.97,0.99,1,0.93,0.89,0.84,1,1,1,0.01,0.04,0.08,0.02,0.01,0.01,0.21,0.17,0.17,0.96,0.95,0.92,0.91,0.88,0.83,0.79,0.83,0.83
"5-10-0.2-100",1,1,1,0.96,0.92,0.89,1,1,1,0.01,0.05,0.09,0.01,0.01,0.01,0.27,0.26,0.26,0.99,0.94,0.91,0.95,0.91,0.89,0.73,0.74,0.74
"5-10-0.6-50",0.97,1,0.99,0.93,0.9,0.85,1,1,1,0,0.01,0.05,0.03,0.02,0.02,0.17,0.14,0.13,0.97,0.98,0.94,0.9,0.88,0.83,0.83,0.86,0.87
"5-10-0.6-100",1,0.99,1,0.96,0.92,0.9,1,1,1,0.01,0.07,0.11,0,0,0,0.28,0.27,0.26,0.99,0.92,0.89,0.96,0.92,0.9,0.72,0.73,0.74
"5-20-0.2-50",0.97,0.99,0.99,0.91,0.87,0.83,0.98,0.97,1,0,0.01,0.02,0.01,0.01,0,0.14,0.14,0.12,0.97,0.98,0.96,0.91,0.86,0.83,0.84,0.83,0.88
"5-20-0.2-100",1,0.99,0.97,0.96,0.92,0.9,0.98,1,1,0,0.01,0.04,0.01,0,0,0.28,0.25,0.23,1,0.99,0.93,0.96,0.92,0.9,0.7,0.75,0.77
"5-20-0.6-50",0.96,0.98,0.99,0.92,0.88,0.84,0.99,0.98,0.98,0.01,0.02,0.04,0.01,0.01,0,0.1,0.12,0.12,0.96,0.95,0.95,0.91,0.86,0.84,0.89,0.86,0.86
"5-20-0.6-100",1,1,0.98,0.96,0.92,0.9,0.99,1,1,0,0.03,0.04,0,0,0,0.25,0.25,0.21,1,0.97,0.94,0.96,0.92,0.9,0.74,0.75,0.79
"7-20-0.2-50",0.94,0.99,0.99,0.87,0.81,0.77,0.96,0.96,0.97,0,0.01,0.03,0.01,0,0.01,0.13,0.11,0.11,0.94,0.98,0.97,0.86,0.8,0.76,0.83,0.85,0.86
"7-20-0.2-100",1,1,0.99,0.94,0.9,0.87,0.99,1,1,0,0.01,0.04,0,0,0,0.28,0.27,0.26,1,0.99,0.95,0.94,0.9,0.87,0.71,0.73,0.74
"7-20-0.6-50",0.94,0.99,0.99,0.87,0.81,0.77,0.98,0.97,0.97,0.01,0.02,0.05,0.01,0,0,0.1,0.12,0.13,0.93,0.97,0.94,0.85,0.81,0.77,0.88,0.85,0.84
"7-20-0.6-100",1,1,1,0.94,0.9,0.87,0.97,1,1,0.01,0.03,0.04,0,0,0,0.27,0.25,0.23,0.99,0.97,0.96,0.94,0.9,0.87,0.7,0.75,0.77
"10-20-0.2-50",0.9,0.99,0.99,0.78,0.71,0.68,0.99,0.99,1,0,0.01,0.02,0.01,0,0,0.09,0.09,0.08,0.9,0.98,0.97,0.77,0.7,0.68,0.9,0.9,0.92
"10-20-0.2-100",1,1,1,0.9,0.86,0.82,0.99,1,1,0,0.01,0.04,0,0,0,0.28,0.26,0.24,1,0.99,0.96,0.9,0.86,0.82,0.71,0.74,0.76
"10-20-0.6-50",0.9,0.99,0.99,0.77,0.71,0.69,0.99,0.97,0.97,0,0.02,0.05,0.01,0,0,0.1,0.13,0.13,0.89,0.97,0.94,0.76,0.71,0.68,0.89,0.84,0.84
"10-20-0.6-100",1,1,1,0.9,0.86,0.82,0.97,0.98,1,0,0.02,0.04,0.01,0,0,0.25,0.24,0.22,1,0.97,0.96,0.89,0.86,0.82,0.72,0.74,0.78
