"","MCL.01_H","MCL.05_H","MCL.1_H","HF.01_H","HF.05_H","HF.1_H","CW.01_H","CW.05_H","CW.1_H","MCL.01_F","MCL.05_F","MCL.1_F","HF.01_F","HF.05_F","HF.1_F","CW.01_F","CW.05_F","CW.1_F","MCL.01_KS","MCL.05_KS","MCL.1_KS","HF.01_KS","HF.05_KS","HF.1_KS","CW.01_KS","CW.05_KS","CW.1_KS"
"3-10-0.2-50",0.71,0.9,0.9,0.93,0.91,0.93,0.96,0.94,0.98,0.06,0.08,0.16,0.35,0.26,0.24,0.12,0.11,0.08,0.64,0.82,0.73,0.58,0.66,0.69,0.83,0.83,0.89
"3-10-0.2-100",0.97,0.97,0.97,0.96,0.92,0.93,0.97,0.96,0.98,0.04,0.11,0.17,0.28,0.19,0.14,0.2,0.18,0.14,0.93,0.86,0.8,0.68,0.73,0.78,0.77,0.78,0.84
"3-10-0.6-50",0.72,0.92,0.94,0.95,0.91,0.92,0.96,0.95,0.97,0.04,0.04,0.07,0.25,0.18,0.12,0.12,0.1,0.1,0.68,0.88,0.87,0.7,0.73,0.79,0.84,0.85,0.87
"3-10-0.6-100",0.98,0.97,0.96,0.95,0.95,0.93,0.98,0.99,0.98,0.01,0.09,0.16,0.26,0.14,0.1,0.2,0.19,0.2,0.97,0.87,0.8,0.69,0.81,0.83,0.78,0.8,0.78
"3-20-0.2-50",0.38,0.4,0.35,0.68,0.73,0.77,0.79,0.8,0.89,0.11,0.17,0.23,0.22,0.15,0.13,0.08,0.07,0.05,0.27,0.23,0.12,0.46,0.58,0.64,0.7,0.73,0.84
"3-20-0.2-100",0.39,0.24,0.35,0.89,0.84,0.87,0.72,0.76,0.88,0.15,0.22,0.26,0.2,0.16,0.14,0.16,0.13,0.1,0.24,0.02,0.08,0.69,0.68,0.73,0.56,0.63,0.78
"3-20-0.6-50",0.5,0.42,0.36,0.75,0.75,0.8,0.84,0.92,0.92,0.07,0.13,0.18,0.23,0.19,0.16,0.07,0.06,0.06,0.43,0.29,0.18,0.53,0.56,0.64,0.77,0.86,0.86
"3-20-0.6-100",0.67,0.34,0.44,0.95,0.9,0.88,0.76,0.83,0.96,0.07,0.17,0.19,0.19,0.13,0.12,0.17,0.14,0.11,0.6,0.16,0.24,0.76,0.77,0.77,0.58,0.69,0.85
"5-10-0.2-50",0.73,0.91,0.92,0.85,0.86,0.83,0.97,0.96,0.95,0.01,0.07,0.16,0.33,0.23,0.21,0.13,0.09,0.1,0.71,0.84,0.75,0.52,0.63,0.62,0.84,0.86,0.85
"5-10-0.2-100",0.99,0.99,0.99,0.93,0.89,0.88,0.98,0.99,0.99,0.04,0.11,0.17,0.29,0.21,0.15,0.16,0.15,0.14,0.95,0.89,0.82,0.65,0.69,0.73,0.82,0.84,0.84
"5-10-0.6-50",0.73,0.92,0.96,0.88,0.86,0.84,0.98,0.96,0.95,0,0.03,0.06,0.2,0.15,0.14,0.11,0.09,0.09,0.73,0.89,0.9,0.68,0.71,0.7,0.86,0.87,0.86
"5-10-0.6-100",0.99,0.98,0.99,0.95,0.91,0.89,0.99,0.98,0.98,0.01,0.1,0.14,0.27,0.15,0.13,0.17,0.16,0.14,0.99,0.88,0.85,0.68,0.76,0.76,0.82,0.82,0.84
"5-20-0.2-50",0.68,0.85,0.9,0.82,0.8,0.79,0.94,0.94,0.93,0.03,0.07,0.11,0.16,0.12,0.11,0.05,0.05,0.05,0.65,0.78,0.79,0.66,0.67,0.68,0.89,0.89,0.88
