      Simulation of the SSM 
---------------------------------------------------------------------------

  Observation       y1            y2           alpha         beta

         1        10.289         4.544         2.745         3.875
         2        16.519         4.823         4.276         5.516
         3        15.272         4.087         4.830         5.140
         4        13.008         3.752         4.058         4.129
         5        13.774         3.209         3.443         4.002
         6        13.759         5.298         3.522         4.400
         7        15.381         5.549         4.106         4.904
         8        12.094         3.699         3.229         3.686
         9        13.030         3.987         3.351         4.368
        10        11.821         6.377         3.929         4.816
