Single Tm n clsize frho noCons noPois ind crit
TRUE 100 10 3 0.2 TRUE FALSE 17 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.05 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.1 
TRUE 50 10 3 0.6 TRUE FALSE 100 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.05 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.1 
TRUE 50 10 3 0.6 TRUE FALSE 100 0.01 
TRUE 100 10 3 0.2 TRUE FALSE 17 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.01 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.05 
TRUE 50 10 3 0.6 TRUE FALSE 9 0.1 
TRUE 50 10 3 0.6 TRUE FALSE 100 0.01 
TRUE 50 10 3 0.2 FALSE FALSE 20 0.01 
TRUE 50 10 3 0.2 FALSE FALSE 20 0.05 
TRUE 50 10 3 0.2 FALSE FALSE 20 0.1 
TRUE 50 10 3 0.2 FALSE FALSE 52 0.01 
TRUE 50 10 3 0.2 FALSE FALSE 54 0.01 
TRUE 50 10 3 0.6 FALSE FALSE 84 0.01 
